 36      46615       3224          0        151          0          8      56,34       1,56       18,6       1,97        959       2415       2295        114          4       1657        161          0
 37      46283       3529          0        177          0          9      56,34       1,57       18,8       1,95       1075       2631       2491        133          6       1848        178          0
 38      45937       3842          0        208          0         11      56,34       1,57       19,1       1,91       1191       2860       2695        158          7       2048        196          0
 39      45575       4167          0        242          0         13      56,34       1,58       19,4       1,89       1318       3095       2903        184          8       2261        217          0
 40      45207       4492          0        283          0         16      56,34       1,58       19,6       1,85       1452       3329       3104        215         10       2495        240          0
 41      45088       4561          0        331          0         18      55,66       1,53       19,8       1,85       1526       3374       3149        215         10       2736        265          0
 42      44969       4621          0        386          0         22      55,00       1,48       20,0       1,81       1604       3416       3190        215         10       2976        290          0
 43      44837       4691          0        445          0         25      54,38       1,45       20,2       1,79       1688       3464       3238        215         10       3245        318          0
 44      44710       4751          0        509          0         29      53,79       1,42       20,3       1,76       1768       3511       3286        215         10       3524        348          0
 45      44594       4794          0        576          0         33      53,22       1,40       20,4       1,75       1840       3555       3329        215         10       3813        377          0
 46      44482       4827          0        651          0         38      52,68       1,38       20,5       1,71       1903       3604       3378        215         10       4102        406          0
 47      44376       4846          0        732          0         44      52,16       1,36       20,6       1,70       1960       3653       3427        215         10       4135        409          0
 48      44274       4850          0        825          0         50      51,66       1,34       20,7       1,68       2015       3700       3474        216         10       4155        411          0
 49      44175       4840          0        927          0         56      51,19       1,33       20,9       1,67       2071       3743       3517        216         10       4178        414          0
 50      44075       4818          0       1041          0         64      50,73       1,31       21,1       1,65       2126       3787       3561        216         10       4184        415          0
 51      43985       4778          0       1164          0         71      50,30       1,30       21,2       1,62       2178       3825       3598        217         10       4169        413          0
 52      43898       4722          0       1299          0         79      49,88       1,29       21,4       1,59       2230       3860       3632        218         10       4138        410          0
 53      43814       4656          0       1441          0         87      49,48       1,28       21,6       1,57       2284       3890       3661        219         10       4094        406          0
 54      43738       4568          0       1595          0         96      49,09       1,27       21,8       1,55       2336       3914       3683        221         10       4033        401          0
 55      43666       4470          0       1757          0        105      48,72       1,27       22,0       1,53       2385       3937       3704        223         10       3961        394          0
 56      43600       4352          0       1931          0        115      48,36       1,26       22,2       1,51       2432       3956       3720        226         10       3877        386          0
 57      43541       4214          0       2118          0        124      48,02       1,26       22,4       1,48       2477       3971       3730        230         10       3770        377          0
 58      43485       4063          0       2316          0        135      47,69       1,25       22,7       1,45       2520       3984       3738        235         10       3650        365          0
 59      43432       3905          0       2516          0        145      47,37       1,25       22,9       1,43       2561       3995       3743        241         10       3523        352          0
 60      43381       3738          0       2723          0        156      47,07       1,24       23,1       1,41       2599       4008       3749        248         10       3381        338          0
 61      43334       3559          0       2938          0        167      46,77       1,24       23,4       1,38       2636       4018       3752        255         10       3227        323          0
 62      43291       3367          0       3161          0        179      46,49       1,24       23,6       1,36       2669       4029       3752        266         10       3058        307          0
 63      43247       3175          0       3386          0        190      46,21       1,24       23,8       1,33       2703       4038       3748        278         10       2881        290          0
 64      43211       2976          0       3610          0        201      45,95       1,23       24,0       1,31       2733       4045       3743        291         10       2702        271          0
 65      43175       2775          0       3836          0        212      45,69       1,23       24,2       1,29       2761       4053       3736        306         10       2518        253          0
 66      43143       2570          0       4061          0        223      45,44       1,23       24,4       1,27       2786       4059       3724        323         11       2332        233          0
 67      43112       2379          0       4273          0        234      45,20       1,23       24,6       1,25       2810       4066       3713        341         11       2157        217          0
 68      43084       2185          0       4484          0        245      44,97       1,23       24,8       1,22       2832       4072       3698        362         11       1979        199          0
 69      43060       1989          0       4694          0        255      44,75       1,23       24,9       1,19       2852       4077       3680        384         11       1802        179          0
 70      43035       1804          0       4893          0        266      44,53       1,23       25,1       1,16       2871       4082       3662        408         12       1629        163          0
 71      43013       1630          0       5078          0        276      44,32       1,23       25,2       1,14       2887       4088       3643        433         12       1469        146          0
 72      42751       1601          0       5355          0        291      44,13       1,20       25,3       1,15       3002       4235       3734        488         13       1444        144          0
 73      42730       1511          0       5459          0        298      43,93       1,20       25,3       1,14       3018       4241       3697        530         13       1365        135          0
 74      42710       1425          0       5559          0        304      43,74       1,20       25,4       1,13       3033       4246       3662        569         14       1288        127          0
 75      42693       1336          0       5658          0        311      43,55       1,20       25,4       1,12       3045       4251       3626        609         14       1208        118          0
 76      42675       1254          0       5752          0        317      43,37       1,20       25,4       1,11       3057       4256       3595        647         14       1133        111          0
 77      42658       1177          0       5841          0        322      43,19       1,20       25,5       1,11       3070       4261       3562        683         15       1062        104          0
 78      42643       1105          0       5924          0        326      43,01       1,20       25,5       1,10       3080       4265       3530        719         15        997         97          0
 79      42628       1039          0       5999          0        331      42,85       1,20       25,5       1,09       3090       4270       3504        751         15        937         91          0
 80      42613        975          0       6073          0        336      42,68       1,20       25,6       1,08       3100       4276       3478        782         15        878         85          0
 81      42599        909          0       6148          0        341      42,52       1,20       25,6       1,08       3108       4281       3454        811         15        816         79          0
