--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.0.2.1
06/04/2020 10:58:20
--------------------------------------------------------------------------------------------------
Prefijo CRB50
Número de hilos                              30
Potencia para fin de infección             3,00

Probabilidad base de contagio              4,00 %
Probabilidad contagio cluster              5,00 %
Probabilidad base de REcontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            7
Probabilidad de enfermar                 100,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         0,00 %
Probabilidad contagio ambiental            0,00 %

Número de individuos                     50.000
Radio                                     2.694
Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4
Tabla de vecinos                   Si          

Número clusters objetivo                    125
Número clusters generados                   123 con        9.960 individuos,            3 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad- % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  2   0   4       10,0       30,0       99,3    70    90       4,00        2.000          4,0           40
menor                 2   5  19        5,0       30,0      100,0    80   110      15,00        7.500         15,0           60
adulto                2  20  64       40,0       30,0       99,4    80   120      62,00       31.000         62,0          100
jubilado              2  65  69     1000,0       30,0       96,8    70    90       5,00        2.500          5,0           50
mayor                 2  70 150      800,0       30,0       83,5    60    70      14,00        7.000         14,0           40
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos   Enfermos Hospitaliz  Ambiental
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      56,39       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  2      49990         10          0          0          0          0      56,37       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  3      49990         10          0          0          0          0      56,35       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  4      49983         17          0          0          0          0      56,35       0,09        0,0       0,00          0          7          7          0          0          0          0          0
  5      49977         23          0          0          0          0      56,34       0,47        0,0       0,00          1         12         12          0          0          0          0          0
  6      49973         27          0          0          0          0      56,35       0,51        0,0       0,00          1         16         16          0          0          0          0          0
  7      49947         53          0          0          0          0      56,38       0,57        0,0       0,00          2         41         41          0          0         10          2          0
  8      49931         69          0          0          0          0      56,37       0,62        0,0       0,00          4         55         55          0          0         10          2          0
  9      49907         93          0          0          0          0      56,37       0,55        0,0       0,00          7         76         76          0          0         10          2          0
 10      49863        137          0          0          0          0      56,37       0,57        0,0       0,00         11        116        116          0          0         17          2          0
 11      49822        178          0          0          0          0      56,37       0,54        0,0       0,00         14        154        154          0          0         23          2          0
 12      49764        236          0          0          0          0      56,35       0,57        0,0       0,00         23        203        203          0          0         27          3          0
 13      49719        281          0          0          0          0      56,35       0,64        0,0       0,00         29        242        242          0          0         53          6          0
 14      49670        330          0          0          0          0      56,34       0,66        0,0       0,00         36        284        284          0          0         69          7          0
 15      49618        382          0          0          0          0      56,33       0,76        0,0       0,00         46        326        326          0          0         93         11          0
 16      49566        434          0          0          0          0      56,34       0,86        0,0       0,00         69        355        355          0          0        137         17          0
 17      49527        473          0          0          0          0      56,33       0,89        0,0       0,00         87        376        376          0          0        178         22          0
 18      49467        533          0          0          0          0      56,34       0,96        0,0       0,00        103        420        420          0          0        236         26          0
 19      49404        594          0          2          0          0      56,34       1,00       15,0       3,00        117        469        468          1          0        279         29          0
 20      49323        674          0          3          0          0      56,34       1,03       15,0       3,33        134        533        531          2          0        327         33          0
 21      49218        778          0          4          0          0      56,34       1,04       16,3       3,75        148        624        622          2          0        378         38          0
 22      49062        933          0          5          0          0      56,34       1,05       17,2       3,00        167        761        759          2          0        429         44          0
 23      48904       1089          0          7          0          0      56,34       1,03       16,4       2,57        192        894        891          3          0        466         47          0
 24      48742       1248          0         10          0          0      56,34       1,01       15,7       2,70        220       1028       1022          6          0        523         54          0
 25      48523       1463          0         14          0          0      56,34       1,02       14,7       2,07        244       1223       1213         10          0        582         63          0
 26      48318       1659          0         23          0          0      56,34       1,02       15,5       2,87        267       1405       1390         15          0        654         73          0
 27      48061       1908          0         31          0          0      56,35       1,01       16,0       2,94        313       1616       1593         23          0        751         82          0
 28      47831       2132          0         37          0          0      56,35       1,04       15,5       2,59        358       1801       1772         29          0        901         96          0
 29      47641       2313          0         45          0          1      56,35       1,05       15,6       2,35        420       1929       1892         37          0       1050        110          0
 30      47439       2499          0         61          0          1      56,35       1,07       16,9       2,44        476       2075       2027         48          0       1196        122          0
 31      47176       2747          0         76          0          1      55,43       1,04       16,9       2,26        544       2270       2222         48          0       1400        141          0
 32      46897       3008          0         93          0          2      54,58       1,01       17,3       2,07        596       2497       2449         48          0       1587        157          0
 33      46613       3263          0        121          0          3      53,78       0,98       17,7       2,06        644       2733       2685         48          0       1815        182          0
 34      46353       3504          0        140          0          3      53,02       0,96       18,1       2,10        697       2940       2892         48          0       2026        200          0
 35      46100       3717          0        178          0          5      52,31       0,95       18,2       2,04        749       3141       3093         48          0       2176        221          0
 36      45857       3922          0        215          0          6      51,64       0,94       19,0       2,04        802       3331       3283         48          0       2340        246          0
 37      45610       4126          0        257          0          7      51,00       0,93       19,0       1,88        865       3515       3466         49          0       2560        277          0
 38      45334       4346          0        309          0         11      50,40       0,93       19,5       1,81        924       3732       3681         51          0       2783        299          0
 39      45055       4565          0        367          0         13      49,83       0,92       19,7       1,88        986       3949       3897         52          0       3007        326          0
 40      44770       4793          0        421          0         16      49,28       0,91       20,0       1,80       1044       4176       4123         53          0       3210        354          0
 41      44515       4974          0        489          0         22      48,77       0,91       20,2       1,74       1111       4364       4308         55          1       3389        368          0
 42      44249       5160          0        561          0         30      48,28       0,91       20,2       1,69       1187       4554       4489         64          1       3552        380          0
 43      44013       5322          0        632          0         33      47,81       0,91       20,6       1,65       1256       4721       4650         69          2       3725        394          0
 44      43793       5446          0        725          0         36      47,37       0,91       20,7       1,62       1332       4865       4789         73          3       3906        410          0
 45      43591       5566          0        805          0         38      46,94       0,91       20,8       1,65       1389       5010       4924         83          3       4105        429          0
 46      43389       5658          0        911          0         42      46,54       0,91       20,9       1,60       1467       5134       5026        105          3       4278        436          0
 47      43136       5783          0       1032          0         49      46,15       0,91       21,0       1,61       1552       5302       5168        130          4       4404        448          0
 48      42891       5906          0       1151          0         52      45,78       0,91       21,1       1,62       1622       5477       5317        156          4       4548        451          0
 49      42650       6008          0       1285          0         57      45,43       0,91       21,4       1,60       1698       5642       5461        176          5       4645        462          0
 50      42419       6103          0       1414          0         64      45,09       0,91       21,6       1,64       1769       5802       5593        203          6       4729        468          0
 51      42205       6131          0       1593          0         71      44,76       0,91       21,9       1,60       1846       5939       5694        239          6       4745        473          0
 52      42005       6167          0       1749          0         79      44,45       0,90       22,1       1,58       1927       6058       5779        273          6       4783        481          0
 53      41782       6183          0       1944          0         91      44,15       0,91       22,4       1,53       1998       6210       5878        324          8       4829        489          0
 54      41557       6193          0       2153          0         97      43,86       0,90       22,6       1,51       2069       6364       5972        382         10       4859        496          0
 55      41333       6178          0       2378          0        111      43,58       0,90       22,8       1,49       2146       6511       6040        457         14       4861        501          0
 56      41075       6192          0       2607          0        126      43,32       0,90       23,0       1,45       2221       6694       6133        541         20       4848        504          0
 57      40867       6163          0       2836          0        134      43,06       0,90       23,2       1,41       2285       6838       6179        636         23       4825        502          0
 58      40643       6140          0       3075          0        142      42,82       0,90       23,4       1,41       2366       6981       6231        725         25       4778        495          0
 59      40435       6097          0       3316          0        152      42,58       0,90       23,5       1,39       2433       7122       6256        836         30       4750        494          0
 60      40224       6062          0       3548          0        166      42,36       0,90       23,7       1,37       2503       7263       6273        953         37       4729        477          0
 61      40012       6025          0       3787          0        176      42,58       0,91       23,8       1,36       2590       7388       6398        953         37       4705        486          0
 62      39783       6000          0       4029          0        188      42,79       0,92       23,9       1,33       2688       7519       6529        953         37       4709        490          0
 63      39591       5965          0       4252          0        192      42,99       0,93       24,0       1,31       2778       7621       6631        953         37       4689        498          0
 64      39408       5892          0       4498          0        202      43,19       0,94       24,2       1,29       2871       7711       6721        953         37       4657        481          0
