Fichero                                                      Desv.Media Ser
------------------------------------------------------------ ---------- --- --
C:\Contagio\20_gi\s001.log                                        57,20   1 ok
C:\Contagio\20_gi\s002.log                                        21,01   1 ok
C:\Contagio\20_gi\s003.log                                        19,26   1 ok
C:\Contagio\20_gi\s004.log                                        51,30   1 ok
C:\Contagio\20_gi\s005.log                                        64,40   1 ok
C:\Contagio\20_gi\s006.log                                        66,59   1 ok
C:\Contagio\20_gi\s007.log                                        40,38   1 ok
C:\Contagio\20_gi\s008.log                                        14,51   1 ok
C:\Contagio\20_gi\s009.log                                        21,70   1 ok
C:\Contagio\20_gi\s010.log                                        78,66   1 ok
------------------------------------------------------------ ---------- --- --
                                           2 x      43,50  =      87,00
------------------------------------------------------------ ---------- --- --

                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES -----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos Indirectos   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
 43      15440       4091          0        411          0         56      54,00       1,44       19,9       1,95       1801       2748       2415        299         33          0       2494        250       4091        401         56       1,92
 44      15235       4235          0        467          0         62      54,00       1,44       20,1       1,94       1914       2840       2464        338         36          0       2657        267       4235        457         62       1,91
 45      15033       4368          0        527          0         70      54,01       1,44       20,3       1,91       2031       2924       2505        378         41          0       2828        284       4368        517         70       1,88
 46      14842       4478          0        598          0         79      54,01       1,45       20,4       1,89       2151       2996       2527        424         44          0       2979        297       4478        588         79       1,86
 47      14677       4564          0        668          0         89      54,02       1,45       20,7       1,87       2260       3052       2531        472         48          0       3123        310       4564        658         89       1,84
 48      14511       4638          0        750          0         99      54,02       1,45       20,8       1,83       2371       3107       2525        528         53          0       3264        325       4638        740         99       1,81
 49      14351       4698          0        838          0        111      54,02       1,45       21,0       1,81       2479       3158       2513        587         58          0       3385        337       4698        828        111       1,79
 50      14211       4721          0        941          0        125      54,03       1,46       21,2       1,78       2576       3202       2480        657         64          0       3492        345       4721        931        125       1,76
 51      14077       4738          0       1045          0        139      54,04       1,46       21,4       1,76       2674       3238       2440        727         71          0       3580        355       4738       1035        139       1,74
 52      13954       4735          0       1159          0        150      54,04       1,47       21,5       1,75       2766       3269       2390        803         75          0       3656        364       4735       1149        150       1,74
 53      13839       4712          0       1284          0        163      54,05       1,47       21,7       1,76       2858       3292       2331        881         79          0       3709        369       4712       1274        163       1,75
 54      13736       4679          0       1407          0        176      54,06       1,47       21,9       1,74       2941       3312       2266        962         83          0       3739        372       4679       1397        176       1,73
 55      13637       4632          0       1540          0        190      54,06       1,48       22,1       1,70       3026       3326       2189       1048         89          0       3758        374       4632       1530        190       1,69
 56      13540       4563          0       1687          0        208      54,07       1,48       22,2       1,67       3108       3341       2102       1143         95          0       3752        372       4563       1677        208       1,65
 57      13452       4484          0       1837          0        225      54,08       1,48       22,5       1,64       3184       3353       2013       1240         99          0       3726        369       4484       1827        225       1,62
 58      13369       4388          0       2000          0        241      54,08       1,48       22,6       1,61       3256       3364       1918       1342        103          0       3681        365       4388       1990        241       1,60
 59      13296       4271          0       2171          0        260      54,09       1,49       22,8       1,58       3323       3369       1809       1451        108          0       3614        361       4271       2161        260       1,57
 60      13228       4157          0       2334          0        279      54,10       1,49       23,0       1,56       3385       3375       1711       1551        112          0       3547        355       4157       2324        279       1,55
 61      13167       4025          0       2511          0        296      54,11       1,49       23,2       1,53       3443       3378       1604       1659        114          0       3456        345       4025       2501        296       1,53
 62      13108       3878          0       2699          0        314      54,12       1,49       23,3       1,50       3499       3382       1490       1775        117          0       3349        331       3878       2689        314       1,49
 63      13056       3720          0       2887          0        334      54,13       1,49       23,5       1,48       3548       3385       1376       1886        122          0       3237        318       3720       2877        334       1,47
 64      13009       3563          0       3073          0        353      54,14       1,49       23,7       1,45       3594       3386       1266       1995        125          0       3120        308       3563       3063        353       1,45
 65      12963       3407          0       3255          0        373      54,15       1,49       23,8       1,44       3638       3387       1159       2100        127          0       3002        297       3407       3245        373       1,43
 66      12922       3244          0       3439          0        393      54,16       1,49       24,0       1,41       3678       3388       1056       2201        130          0       2870        286       3244       3429        393       1,40
 67      12885       3073          0       3626          0        415      54,17       1,49       24,1       1,38       3714       3389        951       2305        133          0       2730        272       3073       3616        415       1,38
 68      12850       2910          0       3804          0        434      54,18       1,49       24,3       1,36       3749       3390        852       2402        134          0       2593        259       2910       3794        434       1,36
 69      12815       2741          0       3986          0        456      54,19       1,50       24,4       1,34       3783       3391        759       2495        137          0       2449        248       2741       3976        456       1,34
 70      12789       2572          0       4159          0        479      54,20       1,49       24,5       1,32       3808       3392        669       2584        138          0       2304        233       2572       4149        479       1,31
 71      12761       2411          0       4328          0        498      54,21       1,50       24,7       1,30       3835       3393        585       2667        140          0       2164        220       2411       4318        498       1,29
 72      12732       2262          0       4488          0        516      54,22       1,50       24,8       1,28       3863       3393        510       2741        141          0       2031        205       2262       4478        516       1,27
 73      12709       2112          0       4644          0        534      54,24       1,50       24,9       1,26       3886       3394        440       2811        143          0       1899        192       2112       4634        534       1,25
 74      12685       1963          0       4798          0        553      54,25       1,50       25,0       1,24       3909       3394        374       2876        144          0       1763        179       1963       4788        553       1,23
 75      12661       1834          0       4931          0        571      54,26       1,50       25,1       1,22       3932       3396        321       2929        145          0       1646        169       1834       4921        571       1,21
 76      12644       1704          0       5063          0        588      54,27       1,50       25,1       1,20       3948       3397        271       2979        146          0       1533        155       1704       5053        588       1,20
 77      12623       1579          0       5189          0        608      54,29       1,50       25,2       1,18       3967       3399        227       3023        147          0       1413        142       1579       5179        608       1,18
 78      12608       1466          0       5301          0        623      54,31       1,50       25,3       1,17       3981       3399        194       3057        148          0       1313        132       1466       5291        623       1,17
 79      12595       1358          0       5406          0        640      54,32       1,50       25,3       1,16       3993       3401        162       3088        149          0       1221        122       1358       5396        640       1,15
 80      12581       1253          0       5510          0        654      54,34       1,50       25,4       1,14       4006       3402        136       3115        150          0       1126        113       1253       5500        654       1,14
 81      12569       1163          0       5598          0        667      54,36       1,50       25,4       1,13       4017       3403        112       3139        151          0       1048        105       1163       5588        667       1,13
 82      12556       1072          0       5688          0        682      54,37       1,50       25,5       1,12       4029       3403         93       3158        151          0        967         96       1072       5678        682       1,12
 83      12546        987          0       5769          0        697      54,39       1,50       25,5       1,11       4038       3404         76       3176        151          0        890         88        987       5759        697       1,11
 84      12535        910          0       5844          0        710      54,41       1,50       25,5       1,10       4048       3406         63       3190        152          0        823         80        910       5834        710       1,10
 85      12526        840          0       5911          0        721      54,43       1,50       25,6       1,09       4056       3407         54       3200        152          0        758         73        840       5901        721       1,09
 86      12516        721          0       6027          0        735      54,46       1,50       25,6       1,08       4067       3406         35       3220        151          0        648         62        721       6017        735       1,07
 87      12507        667          0       6080          0        744      54,48       1,50       25,6       1,07       4075       3407         31       3224        151          0        599         58        667       6070        744       1,07
 88      12482        563          0       6183          0        771      54,52       1,50       25,6       1,06       4099       3407         29       3228        150          0        505         49        563       6173        771       1,05
 89      12473        524          0       6221          0        781      54,54       1,50       25,7       1,05       4105       3411         29       3232        149          0        473         46        524       6211        781       1,05
 90      12469        441          0       6294          0        794      54,58       1,50       25,7       1,04       4105       3415         25       3240        149          0        395         38        441       6284        794       1,04
 91      12466        409          0       6326          0        797      54,62       1,49       25,7       1,04       4101       3422         29       3247        145          0        366         34        409       6316        797       1,03
 92      12461        382          0       6354          0        802      54,64       1,49       25,7       1,04       4105       3423         29       3247        145          0        341         30        382       6344        802       1,03
 93      12457        348          0       6387          0        807      54,66       1,49       25,7       1,03       4108       3424         29       3249        145          0        309         27        348       6377        807       1,03
 94      12456        309          0       6418          0        815      54,70       1,49       25,7       1,03       4110       3423         25       3250        148          0        277         24        309       6408        815       1,03
 95      12450        238          0       6474          0        836      54,76       1,50       25,7       1,02       4113       3426         23       3249        153          0        211         18        238       6464        836       1,02
 96      12448        221          0       6492          0        838      54,78       1,50       25,7       1,02       4114       3427         23       3250        153          0        196         16        221       6482        838       1,02
 97      12444        207          0       6507          0        841      54,79       1,50       25,7       1,02       4117       3428         23       3252        153          0        182         15        207       6497        841       1,01
 98      12442        195          0       6519          0        842      54,82       1,50       25,7       1,02       4118       3428         22       3253        153          0        173         16        195       6509        842       1,01
 99      12441        179          0       6534          0        844      54,84       1,50       25,7       1,01       4120       3429         22       3253        153          0        159         15        179       6524        844       1,01
100      12417        174          0       6545          0        863      54,86       1,49       25,7       1,02       4142       3430         23       3252        155          0        154         13        174       6535        863       1,01
101      12415        166          0       6554          0        864      54,88       1,49       25,7       1,02       4143       3431         23       3253        155          0        148         13        166       6544        864       1,01
102      12417        150          0       6584          0        849      54,94       1,48       25,8       1,01       4152       3421         25       3240        156          0        135         15        150       6574        849       1,01
103      12414        139          0       6597          0        850      54,96       1,48       25,8       1,01       4154       3422         26       3240        156          0        122         14        139       6587        850       1,01
104      12410        133          0       6605          0        852      54,98       1,48       25,8       1,01       4158       3422         26       3240        156          0        116         12        133       6595        852       1,01
105      12409        125          0       6613          0        853      54,99       1,48       25,8       1,01       4159       3422         25       3241        156          0        107         11        125       6603        853       1,01
106      12407        116          0       6624          0        853      55,01       1,48       25,8       1,01       4160       3423         25       3242        156          0         99         11        116       6614        853       1,01
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos Indirectos   Enfermos Hospitaliz Infectados    Curados    Muertos         R0

