 35      39413       9529          0       1040          0         18      58,75       1,76       19,4       1,82       2496       7991       7157        821         13       7182        699          0
 36      39160       9602          0       1213          0         25      58,75       1,77       19,8       1,82       2663       8077       7100        960         17       7480        715          0
 37      38977       9601          0       1387          0         35      58,75       1,78       20,2       1,76       2794       8129       7005       1100         24       7743        735          0
 38      38801       9537          0       1623          0         39      58,75       1,78       20,8       1,66       2924       8175       6838       1310         27       7949        745          0
 39      38589       9485          0       1877          0         49      58,75       1,79       21,2       1,61       3040       8271       6714       1524         33       8073        750          0
 40      38390       9411          0       2146          0         53      58,75       1,80       21,5       1,54       3157       8353       6569       1750         34       8146        765          0
 41      38221       9281          0       2440          0         58      58,75       1,81       21,7       1,50       3262       8417       6382       1999         36       8089        742          0
 42      38084       9136          0       2713          0         67      58,75       1,81       21,8       1,48       3364       8452       6195       2215         42       8060        745          0
 43      37980       8958          0       2985          0         77      58,75       1,82       21,9       1,46       3459       8461       5983       2433         45       7961        727          0
 44      37864       8743          0       3308          0         85      58,75       1,82       22,1       1,45       3570       8466       5744       2674         48       7806        712          0
 45      37757       8555          0       3596          0         92      58,75       1,83       22,2       1,44       3676       8467       5526       2890         51       7723        704          0
 46      37666       8347          0       3886          0        101      58,76       1,83       22,3       1,44       3767       8467       5308       3105         54       7623        690          0
 47      37569       8088          0       4234          0        109      58,76       1,84       22,5       1,45       3864       8467       5027       3380         60       7436        678          0
 48      37478       7778          0       4628          0        116      58,76       1,84       22,7       1,45       3955       8467       4705       3697         65       7172        651          0
 49      37389       7458          0       5029          0        124      58,76       1,85       23,0       1,44       4044       8467       4380       4019         68       6867        623          0
 50      37291       7135          0       5442          0        132      58,76       1,85       23,2       1,43       4142       8467       4051       4345         71       6562        597          0
 51      37209       6754          0       5894          0        143      58,76       1,85       23,5       1,40       4224       8467       3686       4704         77       6206        565          0
 52      37139       6319          0       6393          0        149      58,77       1,85       23,8       1,37       4294       8467       3287       5102         78       5792        536          0
 53      37077       5893          0       6863          0        167      58,77       1,85       24,0       1,34       4356       8467       2916       5463         88       5401        498          0
 54      37013       5501          0       7302          0        184      58,77       1,85       24,2       1,31       4420       8467       2565       5808         94       5036        456          0
 55      36969       5111          0       7722          0        198      58,77       1,85       24,4       1,28       4464       8467       2264       6103        100       4691        424          0
 56      36913       4718          0       8158          0        211      58,77       1,85       24,6       1,26       4520       8467       1962       6400        105       4340        397          0
 57      36851       4387          0       8539          0        223      58,78       1,86       24,7       1,24       4582       8467       1698       6660        109       4029        371          0
 58      36804       4050          0       8915          0        231      58,78       1,86       24,8       1,23       4629       8467       1483       6872        112       3715        335          0
 59      36761       3754          0       9245          0        240      58,78       1,86       24,9       1,21       4672       8467       1285       7069        113       3438        306          0
 60      36719       3416          0       9613          0        252      58,78       1,86       25,1       1,19       4714       8467       1047       7301        119       3122        272          0
 61      36680       3121          0       9940          0        259      58,79       1,86       25,2       1,17       4753       8467        850       7495        122       2832        254          0
 62      36641       2870          0      10220          0        269      58,79       1,86       25,3       1,16       4792       8467        672       7670        125       2598        248          0
 63      36616       2620          0      10490          0        274      58,79       1,86       25,4       1,15       4817       8467        520       7820        127       2385        234          0
 64      36586       2394          0      10737          0        283      58,79       1,86       25,4       1,13       4847       8467        394       7945        128       2176        216          0
 65      36562       2201          0      10942          0        295      58,80       1,87       25,5       1,12       4871       8467        304       8032        131       2002        193          0
 66      36533       2060          0      11106          0        301      58,80       1,87       25,5       1,11       4900       8467        236       8099        132       1874        183          0
 67      36517       1898          0      11274          0        311      58,80       1,87       25,6       1,11       4916       8467        177       8157        133       1735        171          0
 68      36500       1776          0      11410          0        314      58,80       1,87       25,6       1,10       4933       8467        149       8185        133       1635        163          0
 69      36484       1647          0      11544          0        325      58,80       1,87       25,6       1,09       4949       8467        123       8211        133       1515        154          0
 70      36472       1517          0      11681          0        330      58,81       1,87       25,6       1,08       4960       8468         75       8260        133       1403        137          0
 71      36457       1398          0      11811          0        334      58,81       1,87       25,7       1,08       4975       8468         44       8291        133       1294        123          0
 72      36444       1305          0      11914          0        337      58,81       1,87       25,7       1,07       4988       8468         19       8316        133       1216        111          0
 73      36424       1207          0      12029          0        340      58,82       1,87       25,7       1,07       5006       8470          6       8331        133       1114        105          0
 74      36412       1129          0      12116          0        343      58,82       1,87       25,7       1,06       5018       8470          4       8333        133       1041         98          0
 75      36401       1043          0      12207          0        349      58,82       1,87       25,7       1,05       5029       8470          4       8333        133        960         91          0
 76      36391        965          0      12290          0        354      58,83       1,87       25,7       1,05       5039       8470          3       8334        133        884         84          0
 77      36372        908          0      12365          0        355      58,83       1,87       25,7       1,05       5058       8470          3       8334        133        823         77          0
 78      36355        848          0      12437          0        360      58,83       1,87       25,7       1,04       5075       8470          3       8334        133        759         70          0
 79      36347        787          0      12502          0        364      58,84       1,87       25,8       1,04       5083       8470          3       8334        133        710         69          0
 80      36336        729          0      12568          0        367      58,84       1,87       25,8       1,04       5094       8470          3       8334        133        653         70          0
 81      36330        665          0      12633          0        372      58,84       1,87       25,8       1,03       5100       8470          3       8334        133        594         62          0
 82      36327        616          0      12682          0        375      58,84       1,87       25,8       1,03       5103       8470          3       8334        133        552         60          0
 83      36322        578          0      12724          0        376      58,85       1,87       25,8       1,03       5108       8470          3       8334        133        528         59          0
 84      36316        540          0      12766          0        378      58,85       1,87       25,8       1,02       5113       8471          4       8334        133        501         53          0
 85      36310        499          0      12813          0        378      58,85       1,87       25,8       1,02       5119       8471          4       8334        133        462         47          0
 86      36308        462          0      12851          0        379      58,86       1,87       25,8       1,02       5121       8471          4       8334        133        434         47          0
 87      36302        427          0      12892          0        379      58,86       1,87       25,8       1,02       5126       8472          5       8334        133        399         44          0
 88      36297        378          0      12943          0        382      58,86       1,87       25,8       1,01       5131       8472          5       8334        133        348         37          0
 89      36294        346          0      12975          0        385      58,86       1,87       25,8       1,01       5134       8472          5       8334        133        318         34          0
 90      36291        315          0      13009          0        385      58,87       1,87       25,8       1,01       5137       8472          5       8334        133        290         31          0
 91      36287        295          0      13033          0        385      58,87       1,87       25,9       1,01       5140       8473          6       8334        133        272         31          0
 92      36283        274          0      13058          0        385      58,87       1,87       25,9       1,01       5144       8473          6       8334        133        249         29          0
 93      36281        254          0      13079          0        386      58,88       1,87       25,9       1,01       5146       8473          6       8334        133        233         28          0
 94      36280        237          0      13096          0        387      58,88       1,87       25,9       1,01       5147       8473          6       8334        133        220         28          0
 95      36278        212          0      13122          0        388      58,89       1,87       25,9       1,00       5149       8473          6       8334        133        196         26          0
 96      36277        199          0      13136          0        388      58,89       1,87       25,9       1,00       5150       8473          6       8334        133        185         26          0
 97      36275        190          0      13146          0        389      58,89       1,87       25,9       1,00       5152       8473          6       8334        133        178         26          0
 98      36273        179          0      13157          0        391      58,89       1,87       25,9       1,00       5154       8473          6       8334        133        169         24          0
 99      36273        167          0      13169          0        391      58,90       1,87       25,9       1,00       5154       8473          6       8334        133        159         24          0
100      36272        156          0      13181          0        391      58,90       1,87       25,9       1,00       5155       8473          6       8334        133        148         23          0
101      36270        144          0      13195          0        391      58,90       1,87       25,9       1,00       5157       8473          5       8335        133        136         21          0
102      36268        130          0      13211          0        391      58,90       1,87       25,9       1,00       5159       8473          5       8335        133        121         20          0
103      36267        120          0      13222          0        391      58,91       1,87       25,9       1,00       5160       8473          5       8335        133        112         18          0
104      36266        107          0      13235          0        392      58,91       1,87       25,9       1,00       5161       8473          3       8337        133        100         15          0
105      36265        104          0      13239          0        392      58,91       1,87       25,9       1,00       5162       8473          3       8337        133         96         13          0
106      36264         94          0      13249          0        393      58,92       1,87       25,9       1,00       5163       8473          3       8337        133         86         11          0
107      36264         86          0      13257          0        393      58,92       1,87       25,9       1,00       5163       8473          2       8338        133         80         11          0
