 36      69525       5245          0        229          0          1      58,75       1,67       18,3       2,03       1070       4395       4194        200          1       2813        275          0
 37      68956       5772          0        271          0          1      58,75       1,67       18,5       2,11       1179       4855       4617        237          1       3156        305          0
 38      68164       6501          0        334          0          1      58,75       1,67       18,7       1,94       1279       5547       5250        296          1       3446        337          0
 39      67390       7205          0        403          0          2      58,75       1,66       18,9       1,87       1408       6192       5839        351          2       3738        375          0
 40      66665       7860          0        470          0          5      58,75       1,66       19,3       1,80       1541       6784       6372        409          3       4024        403          0
 41      65910       8540          0        545          0          5      58,75       1,67       19,4       1,75       1708       7372       6895        474          3       4401        442          0
 42      65289       9111          0        595          0          5      58,75       1,67       19,4       1,72       1882       7819       7304        512          3       4875        490          0
 43      64729       9584          0        679          0          8      58,75       1,68       19,4       1,69       2080       8181       7593        582          6       5359        539          0
 44      64163      10067          0        762          0          8      58,75       1,70       19,4       1,63       2303       8524       7870        648          6       6067        599          0
 45      63695      10418          0        878          0          9      58,75       1,72       19,5       1,70       2497       8798       8051        741          6       6724        689          0
 46      63270      10712          0       1006          0         12      58,75       1,73       19,7       1,71       2709       9011       8154        849          8       7319        743          0
 47      62897      10947          0       1140          0         16      58,75       1,75       19,7       1,74       2899       9194       8217        966         11       7934        794          0
 48      62494      11178          0       1308          0         20      58,75       1,76       19,8       1,73       3097       9399       8282       1103         14       8383        854          0
 49      62118      11363          0       1491          0         28      58,75       1,77       20,1       1,69       3263       9609       8323       1266         20       8753        890          0
 50      61748      11526          0       1694          0         32      58,75       1,78       20,3       1,66       3443       9799       8345       1431         23       9113        934          0
 51      61398      11636          0       1928          0         38      58,75       1,80       20,5       1,61       3622       9970       8317       1626         27       9342        962          0
 52      61111      11668          0       2177          0         44      58,75       1,81       20,8       1,63       3784      10095       8240       1824         31       9511        972          0
 53      60870      11646          0       2435          0         49      58,75       1,82       21,0       1,59       3949      10171       8101       2036         34       9621        990          0
 54      60654      11604          0       2688          0         54      58,75       1,83       21,1       1,60       4137      10199       7923       2238         38       9766       1014          0
 55      60492      11456          0       2983          0         69      58,75       1,83       21,3       1,59       4294      10204       7682       2476         46       9832       1023          0
 56      60325      11299          0       3297          0         79      58,75       1,84       21,5       1,58       4461      10204       7428       2724         52       9877       1025          0
 57      60189      11051          0       3671          0         89      58,75       1,85       21,8       1,54       4597      10204       7112       3036         56       9842       1019          0
 58      60037      10786          0       4077          0        100      58,75       1,86       22,1       1,51       4749      10204       6794       3349         61       9712       1000          0
 59      59909      10484          0       4494          0        113      58,75       1,87       22,3       1,49       4877      10204       6460       3675         69       9523        990          0
 60      59795      10121          0       4955          0        129      58,75       1,87       22,6       1,47       4991      10204       6099       4031         74       9262        951          0
 61      59658       9763          0       5440          0        139      58,75       1,88       22,8       1,45       5124      10208       5719       4409         80       8929        910          0
 62      59534       9399          0       5912          0        155      58,75       1,89       23,0       1,44       5246      10210       5347       4776         87       8608        876          0
 63      59433       9031          0       6364          0        172      58,75       1,89       23,2       1,43       5343      10214       5006       5113         95       8275        838          0
 64      59318       8662          0       6836          0        184      58,75       1,90       23,3       1,41       5441      10231       4666       5464        101       7943        809          0
 65      59185       8308          0       7311          0        196      58,75       1,90       23,5       1,40       5568      10237       4326       5805        106       7584        770          0
 66      59093       7920          0       7774          0        213      58,75       1,91       23,7       1,40       5656      10241       3975       6150        116       7218        739          0
 67      58989       7471          0       8314          0        226      58,76       1,91       23,9       1,38       5760      10241       3573       6548        120       6802        706          0
 68      58881       7034          0       8850          0        235      58,76       1,91       24,1       1,35       5868      10241       3165       6951        125       6381        663          0
 69      58809       6507          0       9431          0        253      58,76       1,92       24,3       1,31       5940      10241       2727       7377        137       5884        623          0
 70      58734       6020          0       9976          0        270      58,76       1,92       24,5       1,29       6015      10241       2324       7772        145       5437        574          0
 71      58666       5556          0      10490          0        288      58,76       1,92       24,6       1,27       6083      10241       1968       8123        150       5038        527          0
 72      58596       5112          0      10991          0        301      58,76       1,93       24,8       1,25       6153      10241       1632       8453        156       4615        483          0
 73      58544       4665          0      11475          0        316      58,77       1,93       24,9       1,22       6205      10241       1308       8771        162       4220        451          0
 74      58497       4300          0      11870          0        333      58,77       1,93       25,0       1,20       6252      10241       1099       8974        168       3916        419          0
 75      58452       3936          0      12268          0        344      58,77       1,93       25,1       1,19       6297      10241        888       9182        171       3579        385          0
 76      58414       3644          0      12585          0        357      58,77       1,93       25,2       1,18       6335      10241        725       9342        174       3324        362          0
 77      58371       3406          0      12858          0        365      58,77       1,94       25,3       1,17       6378      10241        615       9450        176       3111        334          0
 78      58333       3183          0      13103          0        381      58,77       1,94       25,3       1,16       6415      10242        509       9553        180       2920        309          0
 79      58299       2913          0      13402          0        386      58,77       1,94       25,4       1,15       6449      10242        397       9665        180       2668        287          0
 80      58268       2696          0      13637          0        399      58,77       1,94       25,4       1,13       6480      10242        290       9768        184       2467        265          0
 81      58240       2455          0      13899          0        406      58,78       1,94       25,5       1,12       6508      10242        187       9871        184       2243        242          0
 82      58219       2246          0      14116          0        419      58,78       1,94       25,5       1,11       6529      10242        112       9946        184       2051        219          0
 83      58197       2087          0      14292          0        424      58,78       1,94       25,6       1,10       6550      10243         66       9993        184       1913        200          0
 84      58172       1960          0      14437          0        431      58,78       1,94       25,6       1,09       6575      10243         45      10014        184       1799        194          0
 85      58141       1841          0      14581          0        437      58,78       1,94       25,6       1,09       6605      10244         36      10024        184       1683        186          0
 86      58127       1736          0      14697          0        440      58,78       1,94       25,6       1,08       6619      10244         33      10027        184       1595        178          0
 87      58106       1615          0      14831          0        448      58,79       1,94       25,6       1,07       6640      10244         32      10028        184       1481        165          0
 88      58090       1493          0      14962          0        455      58,79       1,94       25,6       1,07       6655      10245         32      10029        184       1364        153          0
 89      58079       1398          0      15064          0        459      58,79       1,94       25,7       1,07       6666      10245         29      10032        184       1280        146          0
 90      58068       1304          0      15159          0        469      58,79       1,94       25,7       1,06       6677      10245         26      10033        186       1200        137          0
 91      58057       1218          0      15250          0        475      58,79       1,94       25,7       1,06       6688      10245         22      10036        187       1134        123          0
 92      58044       1128          0      15351          0        477      58,80       1,94       25,7       1,05       6701      10245         20      10038        187       1045        114          0
 93      58036       1039          0      15446          0        479      58,80       1,94       25,7       1,05       6709      10245         19      10039        187        969        102          0
 94      58026        958          0      15530          0        486      58,80       1,94       25,7       1,04       6719      10245         17      10041        187        894         97          0
 95      58017        879          0      15611          0        493      58,80       1,94       25,7       1,04       6728      10245          8      10050        187        817         90          0
 96      58011        791          0      15698          0        500      58,81       1,94       25,7       1,04       6733      10246          8      10051        187        734         83          0
 97      58003        724          0      15764          0        509      58,81       1,94       25,8       1,03       6741      10246          5      10053        188        670         72          0
