 35      39883       9767          0        334          0         16      56,35       1,35       16,5       2,38       3526       6581       6324        249          8        525         50          0
 36      39010      10570          0        401          0         19      56,35       1,35       16,9       2,27       3966       7014       6699        306          9        578         54          0
 37      38174      11322          0        482          0         22      56,35       1,35       17,1       2,27       4433       7383       7006        366         11        664         61          0
 38      37452      11949          0        572          0         27      56,35       1,35       17,5       2,30       4862       7676       7222        438         16        748         70          0
 39      36724      12567          0        680          0         29      56,35       1,36       18,0       2,21       5344       7922       7389        516         17        827         82          0
 40      36035      13126          0        803          0         36      56,35       1,36       18,3       2,24       5827       8128       7501        608         19        894         86          0
 41      35369      13632          0        950          0         49      56,36       1,36       18,7       2,24       6350       8271       7536        709         26        960         93          0
 42      34795      14034          0       1114          0         57      56,36       1,36       19,0       2,20       6832       8363       7500        833         30       1032        104          0
 43      34261      14389          0       1280          0         70      56,36       1,37       19,2       2,21       7310       8419       7422        957         40       1082        113          0
 44      33714      14740          0       1467          0         79      56,36       1,37       19,3       2,17       7819       8457       7327       1086         44       1123        115          0
 45      33233      14987          0       1685          0         95      56,36       1,37       19,5       2,13       8280       8477       7172       1253         52       1173        127          0
 46      32714      15235          0       1938          0        113      56,35       1,36       19,7       2,14       8783       8493       7012       1421         60       1228        133          0
 47      32205      15461          0       2207          0        127      56,35       1,36       20,0       2,10       9287       8498       6832       1599         67       1256        138          0
 48      31770      15572          0       2508          0        150      56,36       1,36       20,2       2,10       9703       8517       6623       1816         78       1277        140          0
 49      31316      15653          0       2867          0        164      56,36       1,36       20,5       2,06      10135       8539       6404       2048         87       1278        136          0
 50      30858      15709          0       3250          0        183      56,36       1,35       20,7       2,04      10582       8550       6161       2296         93       1279        141          0
 51      30410      15707          0       3679          0        204      56,37       1,35       21,1       1,98      11018       8562       5858       2602        102       1273        140          0
 52      29984      15648          0       4145          0        223      56,37       1,34       21,3       1,95      11425       8581       5588       2884        109       1282        144          0
 53      29570      15540          0       4657          0        233      56,37       1,34       21,6       1,91      11829       8591       5258       3219        114       1270        144          0
 54      29196      15408          0       5145          0        251      56,38       1,34       21,8       1,86      12189       8605       4971       3514        120       1269        138          0
 55      28787      15266          0       5672          0        275      56,38       1,34       22,1       1,85      12578       8625       4671       3829        125       1254        133          0
 56      28449      15042          0       6218          0        291      56,38       1,33       22,3       1,83      12901       8640       4367       4145        128       1249        129          0
 57      28080      14773          0       6835          0        312      56,39       1,33       22,5       1,79      13253       8657       4020       4506        131       1248        130          0
 58      27724      14449          0       7495          0        332      56,39       1,33       22,7       1,75      13595       8671       3672       4866        133       1229        126          0
 59      27405      14087          0       8148          0        360      56,40       1,32       23,0       1,71      13902       8683       3329       5219        135       1203        128          0
 60      27110      13713          0       8786          0        391      56,40       1,32       23,2       1,68      14185       8695       2994       5562        139       1171        128          0
 61      26823      13275          0       9484          0        418      56,41       1,31       23,5       1,65      14453       8714       2637       5933        144       1143        120          0
 62      26589      12747          0      10220          0        444      56,41       1,31       23,7       1,61      14674       8727       2271       6311        145       1094        116          0
 63      26323      12298          0      10905          0        474      56,41       1,31       23,9       1,58      14929       8738       1966       6625        147       1077        110          0
 64      26071      11850          0      11569          0        510      56,42       1,30       24,1       1,55      15161       8758       1684       6923        151       1049        104          0
 65      25862      11335          0      12255          0        548      56,42       1,30       24,2       1,51      15360       8768       1432       7184        152       1012        101          0
 66      25638      10865          0      12918          0        579      56,43       1,30       24,4       1,48      15562       8790       1205       7432        153        972         99          0
 67      25445      10342          0      13599          0        614      56,43       1,29       24,6       1,45      15738       8807        994       7656        157        917         95          0
