 35      43110       6707          0        174          0          7      56,34       1,32       16,9       2,60       2214       4664       4531        129          3        310         32          0
 36      42335       7443          0        213          0          8      56,34       1,32       17,1       2,55       2530       5124       4959        160          5        354         36          0
 37      41546       8186          0        256          0         11      56,34       1,33       17,3       2,52       2868       5575       5378        191          6        406         40          0
 38      40732       8942          0        309          0         14      56,34       1,33       17,5       2,50       3230       6027       5785        233          8        461         46          0
 39      39892       9720          0        370          0         16      56,34       1,33       17,8       2,41       3625       6472       6184        277         10        520         53          0
 40      39069      10466          0        443          0         20      56,34       1,34       18,1       2,43       4050       6869       6526        330         12        577         59          0
 41      38265      11180          0        528          0         26      56,35       1,34       18,4       2,39       4497       7226       6819        391         16        635         64          0
 42      37501      11836          0        630          0         31      56,35       1,34       18,6       2,36       4961       7526       7042        465         18        696         70          0
 43      36765      12465          0        731          0         38      56,35       1,35       18,7       2,35       5445       7779       7219        537         22        764         78          0
 44      36074      13022          0        859          0         43      56,35       1,35       18,8       2,31       5939       7975       7321        629         24        831         84          0
 45      35413      13540          0        995          0         51      56,35       1,35       18,9       2,29       6441       8135       7381        725         28        903         89          0
 46      34790      13999          0       1151          0         58      56,35       1,35       19,0       2,27       6949       8250       7386        831         32        970         95          0
 47      34208      14394          0       1329          0         68      56,35       1,35       19,2       2,23       7454       8327       7334        955         37       1032        103          0
 48      33663      14719          0       1536          0         80      56,35       1,35       19,4       2,21       7946       8380       7236       1100         43       1096        110          0
 49      33148      14988          0       1772          0         90      56,35       1,36       19,6       2,19       8425       8416       7107       1261         47       1139        114          0
 50      32651      15215          0       2030          0        102      56,35       1,35       19,9       2,16       8896       8442       6953       1435         53       1182        119          0
 51      32161      15401          0       2320          0        116      56,36       1,35       20,1       2,13       9366       8462       6767       1634         59       1219        124          0
 52      31683      15549          0       2634          0        132      56,36       1,35       20,4       2,09       9825       8480       6569       1843         67       1250        127          0
 53      31206      15671          0       2974          0        146      56,36       1,35       20,6       2,06      10288       8495       6352       2070         72       1271        130          0
 54      30764      15709          0       3362          0        163      56,36       1,35       20,8       2,02      10715       8509       6108       2323         78       1286        129          0
 55      30329      15712          0       3776          0        181      56,36       1,34       21,1       1,99      11135       8525       5850       2590         84       1298        130          0
 56      29911      15664          0       4224          0        200      56,36       1,34       21,3       1,95      11540       8538       5578       2870         89       1299        129          0
 57      29512      15554          0       4711          0        221      56,37       1,34       21,6       1,91      11925       8552       5282       3171         97       1301        131          0
 58      29125      15403          0       5229          0        242      56,37       1,33       21,9       1,88      12296       8568       4973       3491        103       1299        130          0
 59      28740      15226          0       5766          0        265      56,37       1,33       22,1       1,85      12666       8582       4664       3808        109       1287        129          0
 60      28386      14985          0       6336          0        291      56,37       1,32       22,4       1,82      13007       8596       4344       4137        114       1271        128          0
 61      28039      14731          0       6909          0        319      56,37       1,32       22,6       1,79      13336       8614       4033       4459        120       1255        126          0
 62      27711      14402          0       7536          0        349      56,38       1,32       22,8       1,75      13648       8629       3693       4808        127       1230        123          0
 63      27387      14049          0       8186          0        376      56,38       1,31       23,1       1,72      13957       8644       3350       5162        132       1202        119          0
 64      27082      13672          0       8838          0        406      56,38       1,31       23,3       1,68      14244       8662       3023       5501        137       1168        114          0
 65      26799      13247          0       9516          0        436      56,39       1,31       23,5       1,65      14509       8680       2696       5842        141       1134        112          0
 66      26518      12800          0      10214          0        467      56,39       1,30       23,7       1,61      14772       8699       2380       6174        145       1095        108          0
 67      26252      12352          0      10898          0        496      56,40       1,30       23,9       1,58      15019       8718       2076       6491        149       1056        103          0
 68      26008      11883          0      11578          0        529      56,40       1,30       24,1       1,55      15245       8735       1792       6791        151       1013         98          0
 69      25762      11436          0      12240          0        560      56,41       1,29       24,3       1,51      15473       8754       1534       7065        154        976         93          0
 70      25531      10980          0      12897          0        590      56,41       1,29       24,4       1,48      15684       8773       1300       7316        156        940         91          0
 71      25312      10508          0      13554          0        624      56,42       1,28       24,6       1,45      15884       8792       1094       7540        157        898         87          0
 72      25106      10075          0      14161          0        656      56,42       1,28       24,7       1,43      16072       8810        917       7735        158        862         82          0
 73      24922       9628          0      14758          0        690      56,43       1,28       24,8       1,40      16238       8829        778       7891        159        823         80          0
 74      24742       9206          0      15326          0        724      56,43       1,28       24,9       1,37      16399       8847        668       8019        159        788         77          0
 75      24565       8823          0      15856          0        754      56,44       1,27       24,9       1,35      16559       8864        590       8114        160        759         75          0
 76      24399       8455          0      16362          0        783      56,45       1,27       25,0       1,32      16706       8884        531       8191        160        731         72          0
 77      24245       8091          0      16850          0        812      56,46       1,27       25,1       1,30      16842       8902        491       8250        160        697         67          0
 78      24091       7763          0      17305          0        839      56,46       1,27       25,1       1,29      16978       8919        470       8288        161        672         64          0
 79      23944       7442          0      17743          0        869      56,47       1,26       25,2       1,27      17107       8938        459       8317        161        641         61          0
 80      23806       7146          0      18156          0        891      56,48       1,26       25,2       1,25      17228       8955        453       8340        161        619         58          0
 81      23673       6856          0      18555          0        914      56,49       1,26       25,2       1,24      17342       8974        451       8361        161        592         55          0
 82      23550       6550          0      18959          0        939      56,50       1,26       25,3       1,22      17446       8992        453       8377        161        562         53          0
 83      23431       6265          0      19341          0        961      56,51       1,26       25,3       1,21      17546       9011        456       8393        161        536         50          0
 84      23315       5984          0      19717          0        982      56,52       1,26       25,3       1,19      17643       9030        459       8409        161        516         48          0
 85      23207       5714          0      20076          0       1002      56,53       1,25       25,4       1,18      17735       9047        459       8426        161        493         47          0
 86      23107       5452          0      20420          0       1019      56,54       1,25       25,4       1,17      17817       9065        461       8442        161        474         45          0
 87      23006       5209          0      20748          0       1035      56,55       1,25       25,4       1,16      17899       9084        465       8457        161        453         44          0
 88      22906       4973          0      21069          0       1050      56,56       1,25       25,5       1,15      17981       9102        467       8473        161        432         42          0
 89      22816       4737          0      21379          0       1065      56,57       1,25       25,5       1,14      18055       9117        465       8490        161        411         39          0
 90      22727       4529          0      21664          0       1078      56,58       1,25       25,5       1,13      18126       9136        466       8508        161        395         38          0
 91      22638       4322          0      21947          0       1092      56,59       1,24       25,5       1,13      18198       9153        467       8524        161        377         36          0
 92      22559       4107          0      22225          0       1107      56,60       1,24       25,6       1,12      18264       9166        462       8542        161        358         35          0
 93      22484       3920          0      22477          0       1118      56,61       1,24       25,6       1,11      18324       9181        461       8558        161        344         34          0
 94      22407       3739          0      22724          0       1128      56,62       1,24       25,6       1,11      18385       9197        460       8575        161        329         33          0
 95      22341       3563          0      22957          0       1137      56,63       1,24       25,6       1,10      18437       9211        457       8592        161        313         31          0
 96      22271       3411          0      23171          0       1145      56,64       1,24       25,6       1,09      18491       9226        454       8611        161        300         31          0
 97      22207       3251          0      23387          0       1153      56,65       1,24       25,6       1,09      18543       9238        447       8629        161        286         29          0
 98      22152       3091          0      23595          0       1160      56,66       1,24       25,6       1,08      18588       9249        438       8649        161        271         27          0
 99      22094       2951          0      23786          0       1167      56,67       1,24       25,7       1,08      18633       9262        434       8667        161        263         27          0
100      22039       2812          0      23975          0       1173      56,68       1,24       25,7       1,08      18676       9274        428       8684        161        252         25          0
101      21989       2676          0      24153          0       1181      56,69       1,23       25,7       1,07      18714       9286        420       8704        161        238         23          0
102      21942       2548          0      24322          0       1187      56,70       1,23       25,7       1,07      18751       9296        411       8722        161        226         21          0
103      21895       2435          0      24476          0       1192      56,71       1,23       25,7       1,06      18788       9305        402       8741        161        217         20          0
104      21854       2327          0      24621          0       1196      56,72       1,23       25,7       1,06      18821       9314        396       8756        161        206         19          0
105      21812       2219          0      24767          0       1201      56,73       1,23       25,7       1,06      18853       9324        388       8774        161        195         18          0
106      21769       2119          0      24905          0       1205      56,74       1,23       25,7       1,05      18885       9334        378       8793        161        186         18          0
107      21732       2022          0      25034          0       1211      56,75       1,23       25,7       1,05      18914       9343        371       8810        161        176         17          0
108      21694       1930          0      25159          0       1215      56,76       1,23       25,7       1,05      18944       9351        361       8828        161        168         16          0
109      21658       1835          0      25287          0       1218      56,77       1,23       25,8       1,05      18972       9358        348       8847        161        159         15          0
110      21624       1751          0      25402          0       1221      56,78       1,23       25,8       1,04      19000       9365        340       8863        161        152         14          0
111      21593       1671          0      25510          0       1225      56,78       1,23       25,8       1,04      19025       9371        329       8879        161        143         13          0
112      21564       1591          0      25616          0       1228      56,79       1,23       25,8       1,04      19049       9376        317       8896        161        136         13          0
113      21538       1513          0      25717          0       1231      56,80       1,23       25,8       1,04      19071       9380        306       8912        161        130         12          0
114      21512       1440          0      25813          0       1233      56,81       1,23       25,8       1,04      19091       9386        293       8931        161        124         11          0
115      21489       1368          0      25907          0       1235      56,82       1,23       25,8       1,03      19108       9391        280       8949        161        117         11          0
116      21466       1301          0      25993          0       1237      56,83       1,23       25,8       1,03      19126       9396        270       8964        161        114         11          0
117      21444       1243          0      26072          0       1240      56,84       1,23       25,8       1,03      19144       9400        256       8982        161        109         10          0
118      21421       1184          0      26152          0       1241      56,84       1,23       25,8       1,03      19163       9404        245       8997        161        105         10          0
119      21401       1126          0      26228          0       1243      56,85       1,22       25,8       1,03      19179       9409        235       9012        161         99          9          0
120      21381       1075          0      26298          0       1244      56,86       1,22       25,8       1,03      19195       9412        223       9027        161         96          9          0
121      21361       1022          0      26369          0       1246      56,87       1,22       25,8       1,03      19213       9415        210       9043        161         91          9          0
122      21340        972          0      26439          0       1247      56,88       1,22       25,8       1,02      19230       9418        199       9056        161         86          8          0
123      21324        924          0      26501          0       1249      56,88       1,22       25,8       1,02      19243       9421        191       9068        161         81          8          0
124      21309        881          0      26559          0       1250      56,89       1,22       25,8       1,02      19256       9424        179       9082        161         76          7          0
125      21293        838          0      26616          0       1251      56,90       1,22       25,8       1,02      19270       9426        170       9093        161         73          7          0
126      21276        798          0      26672          0       1253      56,91       1,22       25,8       1,02      19284       9429        160       9107        161         70          7          0
127      21262        761          0      26721          0       1254      56,91       1,22       25,8       1,02      19296       9431        152       9117        161         67          7          0
128      21249        725          0      26769          0       1255      56,92       1,22       25,8       1,02      19307       9432        143       9127        161         64          7          0
129      21238        691          0      26813          0       1256      56,93       1,22       25,8       1,02      19317       9434        134       9138        161         60          7          0
130      21227        657          0      26857          0       1257      56,94       1,22       25,8       1,02      19326       9436        126       9147        161         58          7          0
131      21215        624          0      26901          0       1258      56,94       1,22       25,8       1,02      19336       9438        118       9158        161         55          6          0
132      21207        588          0      26944          0       1259      56,95       1,22       25,8       1,01      19343       9439        110       9167        161         52          6          0
133      21197        558          0      26984          0       1260      56,96       1,22       25,8       1,01      19351       9441        102       9176        161         50          6          0
134      21186        531          0      27020          0       1261      56,97       1,22       25,8       1,01      19360       9443         97       9184        161         47          5          0
135      21178        505          0      27055          0       1261      56,97       1,22       25,8       1,01      19367       9444         92       9190        161         45          5          0
136      21168        480          0      27088          0       1262      56,98       1,22       25,8       1,01      19375       9445         86       9198        161         43          5          0
137      21160        456          0      27119          0       1263      56,99       1,22       25,9       1,01      19382       9446         80       9204        161         41          5          0
138      21152        433          0      27149          0       1264      56,99       1,22       25,9       1,01      19389       9448         74       9211        161         39          5          0
139      21145        413          0      27176          0       1265      57,00       1,22       25,9       1,01      19396       9448         70       9216        161         37          4          0
140      21137        390          0      27207          0       1265      57,01       1,22       25,9       1,01      19402       9450         65       9222        161         35          4          0
141      21130        369          0      27233          0       1266      57,01       1,22       25,9       1,01      19407       9451         62       9227        161         32          4          0
142      21125        350          0      27257          0       1266      57,02       1,22       25,9       1,01      19412       9452         58       9231        161         31          3          0
143      21119        333          0      27279          0       1267      57,03       1,22       25,9       1,01      19417       9453         54       9236        161         29          3          0
144      21114        318          0      27299          0       1268      57,03       1,22       25,9       1,01      19422       9453         50       9241        161         28          3          0
145      21109        304          0      27318          0       1268      57,04       1,22       25,9       1,01      19426       9454         47       9244        161         26          3          0
146      21103        289          0      27337          0       1269      57,05       1,22       25,9       1,01      19430       9455         45       9247        161         25          2          0
147      21098        277          0      27354          0       1269      57,05       1,22       25,9       1,01      19435       9456         43       9250        161         23          2          0
148      21094        262          0      27373          0       1269      57,06       1,22       25,9       1,01      19439       9456         40       9253        161         23          2          0
149      21088        249          0      27391          0       1270      57,07       1,22       25,9       1,01      19444       9457         38       9256        161         22          2          0
150      21084        237          0      27407          0       1270      57,07       1,22       25,9       1,01      19447       9457         35       9260        161         21          1          0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos   Enfermos Hospitaliz  Ambiental

Simular [50SR_90Asin2]. Terminada. 22711,8 s

