Tipo 0
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos Inf.Indire   Enfermos Hospitaliz
 47        140          8          0          2          0          0          0          0          0
 48        140          8          0          2          0          0          0          0          0
 49        140          7          0          3          0          0          0          0          0
 50        139          8          0          3          0          0          0          0          0
 51        139          6          0          5          0          0          0          0          0
 52        139          6          0          5          0          0          0          0          0
 53        139          6          0          5          0          0          0          0          0
 54        138          7          0          5          0          0          0          0          0
 55        138          6          0          6          0          0          0          0          0
 56        138          6          0          6          0          0          0          0          0
 57        138          6          0          6          0          0          0          0          0
 58        137          7          0          6          0          0          0          0          0
 59        137          7          0          6          0          0          0          0          0
 60        137          6          0          7          0          0          0          0          0
 61        137          4          0          9          0          0          0          0          0
 62        137          4          0          9          0          0          0          0          0
 63        137          4          0          9          0          0          0          0          0
 64        136          5          0          9          0          0          0          0          0
 65        136          5          0          9          0          0          0          1          0
 66        136          5          0          9          0          0          0          1          0
 67        136          5          0          9          0          0          0          1          0
 68        136          5          0          9          0          0          0          1          0
 69        136          5          0          9          0          0          0          1          0
 70        136          4          0         10          0          0          0          1          0
 71        136          3          0         11          0          0          0          1          0
 72        136          3          0         11          0          0          0          1          0
 73        136          3          0         11          0          0          0          1          0
 74        136          3          0         11          0          0          0          1          0
 75        136          3          0         11          0          0          0          1          0
 76        136          3          0         11          0          0          0          1          0
 77        136          3          0         11          0          0          0          1          0
 78        136          3          0         11          0          0          0          1          0
 79        136          3          0         11          0          0          0          1          0
 80        136          3          0         11          0          0          0          1          0
 81        136          3          0         11          0          0          0          1          0
 82        136          3          0         11          0          0          0          1          0
 83        136          3          0         11          0          0          0          1          0
 84        136          3          0         11          0          0          0          1          0
 85        136          2          0         12          0          0          0          1          0
 86        136          2          0         12          0          0          0          1          0
 87        136          2          0         12          0          0          0          1          0
 88        136          2          0         12          0          0          0          1          0
 89        136          1          0         13          0          0          0          0          0
 90        136          1          0         13          0          0          0          0          0
 91        136          1          0         13          0          0          0          0          0
 92        136          1          0         13          0          0          0          0          0
 93        136          1          0         13          0          0          0          0          0
 94        136          1          0         13          0          0          0          0          0
 95        136          0          0         14          0          0          0          0          0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------

Tipo 2
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos Inf.Indire   Enfermos Hospitaliz
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1        617          3          0          0          0          0          0          0          0
  2        617          3          0          0          0          0          0          0          0
  3        617          3          0          0          0          0          0          0          0
  4        613          7          0          0          0          0          0          0          0
  5        610         10          0          0          0          0          0          0          0
  6        609         11          0          0          0          0          0          0          0
  7        601         19          0          0          0          0          0          0          0
  8        588         32          0          0          0          0          0          0          0
  9        584         36          0          0          0          0          0          0          0
 10        568         52          0          0          0          0          0          0          0
 11        534         86          0          0          0          0          0          3          0
 12        505        115          0          0          0          0          0          3          0
 13        472        148          0          0          0          0          0          3          0
 14        427        193          0          0          0          0          0          5          0
 15        392        228          0          0          0          0          0          9          1
 16        352        267          0          1          0          0          0         12          1
 17        318        301          0          1          0          0          0         15          1
 18        289        330          0          1          0          0          0         26          1
 19        257        361          0          2          0          0          0         37          3
 20        227        391          0          2          0          0          0         47          3
 21        206        411          0          3          0          0          0         66          7
 22        186        430          0          4          0          0          0         76          9
 23        158        456          0          6          0          0          0         87          9
 24        128        479          0         13          0          0          0         93          8
 25        103        503          0         14          0          0          0        105         10
 26         78        523          0         19          0          0          0        111         11
 27         65        536          0         19          0          0          0        120         12
 28         48        545          0         27          0          0          0        123         10
 29         42        547          0         31          0          0          0        130         12
 30         28        554          0         38          0          0          0        132         12
 31         23        549          0         48          0          0          0        138         15
 32         19        545          0         56          0          0          0        150         16
 33         16        538          0         66          0          0          0        156         18
 34         16        532          0         72          0          0          0        159         18
 35         16        520          0         84          0          0          0        160         17
 36         15        507          0         98          0          0          0        159         17
 37         15        483          0        122          0          0          0        154         17
 38         14        463          0        143          0          0          0        149         16
 39         14        443          0        163          0          0          0        143         14
 40         13        427          0        180          0          0          0        139         14
 41         13        402          0        205          0          0          0        131         14
 42         13        376          0        230          0          1          0        122         14
 43         13        341          0        264          0          2          0        108         12
 44         13        309          0        296          0          2          0         99         10
 45         12        275          0        331          0          2          0         87          9
 46         12        252          0        354          0          2          0         83          8
 47         12        223          0        383          0          2          0         76          8
 48         11        199          0        408          0          2          0         70          8
 49         11        176          0        431          0          2          0         57          7
 50         11        145          0        462          0          2          0         49          6
 51         11        123          0        484          0          2          0         42          5
 52         11        111          0        496          0          2          0         36          4
 53         11        102          0        505          0          2          0         35          4
 54         11         82          0        525          0          2          0         28          1
 55         11         64          0        543          0          2          0         21          0
 56         11         52          0        555          0          2          0         18          0
 57         11         38          0        569          0          2          0         13          0
 58         11         29          0        578          0          2          0         11          0
 59         11         17          0        590          0          2          0          7          0
 60         11         14          0        593          0          2          0          6          0
 61         11         11          0        596          0          2          0          4          0
 62         11          6          0        601          0          2          0          2          0
 63         11          5          0        602          0          2          0          1          0
 64         11          3          0        604          0          2          0          1          0
 65         11          3          0        604          0          2          0          1          0
 66         11          3          0        604          0          2          0          1          0
 67         11          3          0        604          0          2          0          1          0
 68         11          2          0        605          0          2          0          1          0
 69         11          2          0        605          0          2          0          1          0
 70         11          1          0        606          0          2          0          0          0
 71         11          1          0        606          0          2          0          0          0
 72         11          1          0        606          0          2          0          0          0
 73         11          1          0        606          0          2          0          0          0
 74         11          1          0        606          0          2          0          0          0
 75         11          0          0        607          0          2          0          0          0
 76         11          0          0        607          0          2          0          0          0
 77         11          0          0        607          0          2          0          0          0
 78         11          0          0        607          0          2          0          0          0
 79         11          0          0        607          0          2          0          0          0
 80         11          0          0        607          0          2          0          0          0
 81         11          0          0        607          0          2          0          0          0
 82         11          0          0        607          0          2          0          0          0
 83         11          0          0        607          0          2          0          0          0
 84         11          0          0        607          0          2          0          0          0
 85         11          0          0        607          0          2          0          0          0
 86         11          0          0        607          0          2          0          0          0
 87         11          0          0        607          0          2          0          0          0
 88         11          0          0        607          0          2          0          0          0
 89         11          0          0        607          0          2          0          0          0
 90         11          0          0        607          0          2          0          0          0
 91         11          0          0        607          0          2          0          0          0
 92         11          0          0        607          0          2          0          0          0
 93         11          0          0        607          0          2          0          0          0
 94         11          0          0        607          0          2          0          0          0
 95         11          0          0        607          0          2          0          0          0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------

Tipo 3
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos Inf.Indire   Enfermos Hospitaliz
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1         50          0          0          0          0          0          0          0          0
  2         50          0          0          0          0          0          0          0          0
  3         50          0          0          0          0          0          0          0          0
  4         50          0          0          0          0          0          0          0          0
  5         50          0          0          0          0          0          0          0          0
  6         50          0          0          0          0          0          0          0          0
  7         50          0          0          0          0          0          0          0          0
  8         50          0          0          0          0          0          0          0          0
  9         50          0          0          0          0          0          0          0          0
 10         49          1          0          0          0          0          0          0          0
 11         49          1          0          0          0          0          0          0          0
 12         49          1          0          0          0          0          0          0          0
 13         49          1          0          0          0          0          0          0          0
 14         49          1          0          0          0          0          0          0          0
 15         49          1          0          0          0          0          0          0          0
 16         46          4          0          0          0          0          0          0          0
 17         45          5          0          0          0          0          0          1          0
 18         44          6          0          0          0          0          0          1          0
 19         42          8          0          0          0          0          0          1          0
 20         40         10          0          0          0          0          0          1          0
 21         39         11          0          0          0          0          0          1          0
 22         38         12          0          0          0          0          0          1          0
 23         35         15          0          0          0          0          0          4          1
 24         26         24          0          0          0          0          0          5          1
 25         24         26          0          0          0          0          0          6          1
 26         21         29          0          0          0          0          0          8          1
 27         17         33          0          0          0          0          0         10          1
 28         16         34          0          0          0          0          0         11          1
 29         14         36          0          0          0          0          0         12          1
 30         12         38          0          0          0          0          0         15          3
 31         11         38          0          1          0          0          0         23          5
 32          9         38          0          3          0          0          0         23          4
 33          9         38          0          3          0          0          0         26          4
 34          8         39          0          3          0          0          0         30          4
