--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.0.2.5
06/04/2020 14:25:12
--------------------------------------------------------------------------------------------------
Prefijo 50CRB30
Número de hilos                              30
Potencia para fin de infección             3,00

Probabilidad base de contagio              4,00 %
Probabilidad contagio cluster              5,00 %
Probabilidad base de REcontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            7
Probabilidad de enfermar                 100,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         0,00 %
Probabilidad contagio ambiental            0,00 %

Número de individuos                     50.000
Radio                                     2.694
Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    125
Número clusters generados                   123 con        9.960 individuos,            0 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad- % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  2   0   4       10,0       30,0       99,3    70    90       4,00        2.000          4,0           40
menor                 2   5  19        5,0       30,0      100,0    80   110      15,00        7.500         15,0           60
adulto                2  20  64       40,0       30,0       99,4    80   120      62,00       31.000         62,0          100
jubilado              2  65  69     1000,0       30,0       96,8    70    90       5,00        2.500          5,0           50
mayor                 2  70 150      800,0       30,0       83,5    60    70      14,00        7.000         14,0           40
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos   Enfermos Hospitaliz  Ambiental
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      56,34       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  2      49990         10          0          0          0          0      56,31       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  3      49990         10          0          0          0          0      56,33       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  4      49990         10          0          0          0          0      56,31       0,60        0,0       0,00          0          0          0          0          0          0          0          0
  5      49990         10          0          0          0          0      56,31       0,96        0,0       0,00          0          0          0          0          0          0          0          0
  6      49988         12          0          0          0          0      56,34       1,08        0,0       0,00          2          0          0          0          0          0          0          0
  7      49987         13          0          0          0          0      56,32       1,43        0,0       0,00          3          0          0          0          0         10          0          0
  8      49987         13          0          0          0          0      56,33       1,49        0,0       0,00          3          0          0          0          0         10          0          0
  9      49986         14          0          0          0          0      56,35       1,49        0,0       0,00          4          0          0          0          0         10          0          0
 10      49985         15          0          0          0          0      56,36       1,55        0,0       0,00          5          0          0          0          0         10          0          0
 11      49983         17          0          0          0          0      56,35       1,58        0,0       0,00          7          0          0          0          0         10          0          0
 12      49982         18          0          0          0          0      56,35       1,48        0,0       0,00          8          0          0          0          0         12          0          0
 13      49981         19          0          0          0          0      56,36       1,67        0,0       0,00          9          0          0          0          0         13          0          0
 14      49980         19          0          1          0          0      56,36       1,78       13,0       0,00         10          0          0          0          0         12          0          0
 15      49964         34          0          2          0          0      56,37       1,84       13,5       0,00         10         16         16          0          0         12          0          0
 16      49957         41          0          2          0          0      56,36       1,72       13,5       0,00         11         22         22          0          0         13          0          0
 17      49948         50          0          2          0          0      56,36       1,65       13,5       0,00         13         29         29          0          0         15          1          0
 18      49938         60          0          2          0          0      56,37       1,55       13,5       0,00         13         39         39          0          0         16          1          0
 19      49934         64          0          2          0          0      56,37       1,59       13,5       0,00         17         39         39          0          0         17          1          0
 20      49930         68          0          2          0          0      56,37       1,57       13,5       0,00         21         39         39          0          0         18          2          0
 21      49923         75          0          2          0          0      56,36       1,60       13,5       0,00         28         39         39          0          0         34          2          0
 22      49916         82          0          2          0          0      56,36       1,58       13,5       0,00         31         43         43          0          0         41          3          0
 23      49905         92          0          3          0          0      56,36       1,60       16,3       0,33         34         51         51          0          0         49          4          0
 24      49895        102          0          3          0          0      56,36       1,56       16,3       0,33         40         55         55          0          0         59          4          0
 25      49880        117          0          3          0          0      56,35       1,54       16,3       0,33         41         69         69          0          0         63          5          0
 26      49830        166          0          4          0          0      56,35       1,47       18,5       0,75         46        114        114          0          0         66          5          0
 27      49787        204          0          9          0          0      56,35       1,39       17,0       4,22         49        154        152          2          0         68          6          0
 28      49733        257          0         10          0          0      56,35       1,32       18,0       3,80         55        202        200          2          0         74          7          0
 29      49679        310          0         11          0          0      56,36       1,38       18,9       3,73         62        249        247          2          0         84          7          0
 30      49625        361          0         14          0          0      56,36       1,40       18,9       3,07         70        295        293          2          0         91          8          0
 31      49579        406          0         15          0          0      55,45       1,34       18,1       5,33         81        330        328          2          0        105          8          0
 32      49534        447          0         19          0          0      54,60       1,32       19,1       4,42         94        362        360          2          0        151         12          0
 33      49495        486          0         19          0          0      53,79       1,29       19,1       4,42        110        385        383          2          0        194         19          0
 34      49456        522          0         22          0          0      53,04       1,26       18,3       3,86        121        413        411          2          0        246         27          0
 35      49425        550          0         24          0          1      52,32       1,23       18,2       3,48        134        431        429          2          0        297         27          0
 36      49407        564          0         28          0          1      51,65       1,22       18,5       3,24        144        439        437          2          0        347         31          0
 37      49387        579          0         31          0          3      51,01       1,23       18,9       2,88        158        445        443          2          0        387         34          0
 38      49354        605          0         37          0          4      50,41       1,23       19,0       2,59        173        463        461          2          0        425         43          0
 39      49323        630          0         43          0          4      49,83       1,24       18,6       2,38        183        484        481          3          0        459         44          0
 40      49297        648          0         51          0          4      49,29       1,23       18,7       2,25        190        503        499          4          0        489         47          0
 41      49259        679          0         58          0          4      48,77       1,22       18,7       2,39        198        533        529          4          0        513         49          0
 42      49229        704          0         63          0          4      48,27       1,22       18,8       2,43        206        555        551          4          0        526         48          0
