--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.0.2.5
06/04/2020 14:25:12
--------------------------------------------------------------------------------------------------
Prefijo 50CRB30
Número de hilos                              30
Potencia para fin de infección             3,00

Probabilidad base de contagio              4,00 %
Probabilidad contagio cluster              5,00 %
Probabilidad base de REcontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            7
Probabilidad de enfermar                 100,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         0,00 %
Probabilidad contagio ambiental            0,00 %

Número de individuos                     50.000
Radio                                     2.694
Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    125
Número clusters generados                   123 con        9.960 individuos,            2 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad- % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  2   0   4       10,0       30,0       99,3    70    90       4,00        2.000          4,0           40
menor                 2   5  19        5,0       30,0      100,0    80   110      15,00        7.500         15,0           60
adulto                2  20  64       40,0       30,0       99,4    80   120      62,00       31.000         62,0          100
jubilado              2  65  69     1000,0       30,0       96,8    70    90       5,00        2.500          5,0           50
mayor                 2  70 150      800,0       30,0       83,5    60    70      14,00        7.000         14,0           40
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos   Enfermos Hospitaliz  Ambiental
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      56,31       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  2      49990         10          0          0          0          0      56,32       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  3      49990         10          0          0          0          0      56,33       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  4      49982         18          0          0          0          0      56,35       0,25        0,0       0,00          1          7          7          0          0          0          0          0
  5      49980         20          0          0          0          0      56,36       0,38        0,0       0,00          1          9          9          0          0          0          0          0
  6      49978         22          0          0          0          0      56,36       0,60        0,0       0,00          2         10         10          0          0          0          0          0
  7      49963         37          0          0          0          0      56,35       0,68        0,0       0,00          2         25         25          0          0         10          0          0
  8      49948         52          0          0          0          0      56,36       0,77        0,0       0,00          3         39         39          0          0         10          0          0
  9      49935         64          0          1          0          0      56,36       0,77        8,0       0,00          3         52         52          0          0          9          0          0
 10      49898        101          0          1          0          0      56,35       0,70        8,0       0,00          3         89         89          0          0         17          0          0
 11      49860        139          0          1          0          0      56,34       0,81        8,0       0,00          8        122        122          0          0         19          0          0
 12      49826        173          0          1          0          0      56,33       0,84        8,0       0,00         14        150        150          0          0         21          0          0
 13      49793        206          0          1          0          0      56,34       0,97        8,0       0,00         25        172        172          0          0         36          3          0
 14      49747        252          0          1          0          0      56,35       1,08        8,0       0,00         37        206        206          0          0         51          5          0
 15      49719        279          0          1          0          1      56,36       1,10        6,0       0,00         51        220        220          0          0         64          6          0
 16      49692        306          0          1          0          1      56,36       1,20        6,0       0,00         71        227        227          0          0        101          9          0
 17      49666        332          0          1          0          1      56,36       1,35        6,0       0,00         88        236        236          0          0        138         14          0
 18      49609        389          0          1          0          1      56,35       1,45        6,0       0,00        105        276        276          0          0        172         19          0
 19      49528        467          0          4          0          1      56,35       1,47        9,6       0,60        121        341        339          2          0        202         24          0
 20      49484        511          0          4          0          1      56,34       1,49        9,6       0,60        137        369        367          2          0        248         28          0
 21      49400        592          0          7          0          1      56,35       1,53       13,1       2,00        155        435        432          3          0        273         30          0
 22      49319        666          0         14          0          1      56,35       1,57       13,3       1,73        183        488        479          9          0        293         34          0
