--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.0.2.5
06/04/2020 14:25:12
--------------------------------------------------------------------------------------------------
Prefijo 50CRB30
Número de hilos                              30
Potencia para fin de infección             3,00

Probabilidad base de contagio              4,00 %
Probabilidad contagio cluster              5,00 %
Probabilidad base de REcontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            7
Probabilidad de enfermar                 100,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         0,00 %
Probabilidad contagio ambiental            0,00 %

Número de individuos                     50.000
Radio                                     2.694
Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    125
Número clusters generados                   123 con        9.960 individuos,            2 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad- % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  2   0   4       10,0       30,0       99,3    70    90       4,00        2.000          4,0           40
menor                 2   5  19        5,0       30,0      100,0    80   110      15,00        7.500         15,0           60
adulto                2  20  64       40,0       30,0       99,4    80   120      62,00       31.000         62,0          100
jubilado              2  65  69     1000,0       30,0       96,8    70    90       5,00        2.500          5,0           50
mayor                 2  70 150      800,0       30,0       83,5    60    70      14,00        7.000         14,0           40
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos   Enfermos Hospitaliz  Ambiental
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      56,42       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  2      49990         10          0          0          0          0      56,43       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  3      49990         10          0          0          0          0      56,40       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  4      49989         11          0          0          0          0      56,39       0,54        0,0       0,00          1          0          0          0          0          0          0          0
  5      49983         17          0          0          0          0      56,39       0,62        0,0       0,00          2          5          5          0          0          0          0          0
  6      49979         21          0          0          0          0      56,39       0,53        0,0       0,00          3          8          8          0          0          0          0          0
  7      49977         23          0          0          0          0      56,37       0,68        0,0       0,00          4          9          9          0          0         10          0          0
  8      49972         28          0          0          0          0      56,38       1,52        0,0       0,00          5         13         13          0          0         10          0          0
  9      49958         42          0          0          0          0      56,38       1,30        0,0       0,00          6         26         26          0          0         10          0          0
 10      49940         60          0          0          0          0      56,38       1,18        0,0       0,00          8         42         42          0          0         11          0          0
 11      49914         86          0          0          0          0      56,38       1,07        0,0       0,00         10         66         66          0          0         17          0          0
 12      49886        114          0          0          0          0      56,35       1,01        0,0       0,00         14         90         90          0          0         21          0          0
 13      49834        166          0          0          0          0      56,36       1,02        0,0       0,00         26        130        130          0          0         23          1          0
 14      49797        203          0          0          0          0      56,35       1,00        0,0       0,00         35        158        158          0          0         28          3          0
 15      49736        264          0          0          0          0      56,35       1,00        0,0       0,00         47        207        207          0          0         42          3          0
 16      49706        294          0          0          0          0      56,35       1,02        0,0       0,00         56        228        228          0          0         60          5          0
 17      49677        321          0          2          0          0      56,35       1,15       16,0       4,00         72        241        241          0          0         84          7          0
 18      49613        385          0          2          0          0      56,35       1,25       16,0       4,00         99        278        278          0          0        112         12          0
 19      49550        448          0          2          0          0      56,36       1,29       16,0       4,00        111        329        329          0          0        164         18          0
 20      49493        505          0          2          0          0      56,36       1,31       16,0       4,00        124        373        373          0          0        201         23          0
 21      49435        558          0          7          0          0      56,36       1,33       11,0       2,43        144        411        406          5          0        257         27          0
 22      49367        624          0          9          0          0      56,35       1,35       10,3       2,00        165        458        451          7          0        285         32          0
 23      49264        725          0         11          0          0      56,35       1,35       11,3       2,55        193        533        524          9          0        312         33          0
 24      49145        840          0         15          0          0      56,34       1,37       12,5       2,53        220        625        613         12          0        372         38          0
 25      49016        969          0         15          0          0      56,35       1,38       12,5       2,53        244        730        718         12          0        435         44          0
 26      48844       1139          0         17          0          0      56,35       1,38       12,5       2,29        271        875        861         14          0        490         49          0
 27      48640       1335          0         25          0          0      56,35       1,39       14,4       4,12        322       1028       1009         19          0        540         56          0
 28      48453       1519          0         28          0          0      56,35       1,39       14,4       3,68        370       1167       1147         20          0        605         64          0
 29      48285       1680          0         35          0          0      56,35       1,42       15,1       3,31        417       1288       1265         23          0        701         74          0
 30      48069       1880          0         49          0          2      56,35       1,45       15,5       3,18        491       1430       1397         33          0        804         87          0
 31      47974       1963          0         61          0          2      55,44       1,39       15,2       2,75        541       1475       1442         33          0        922         97          0
 32      47887       2034          0         77          0          2      54,58       1,34       16,5       2,57        574       1529       1496         33          0       1078        112          0
 33      47746       2164          0         88          0          2      53,78       1,31       16,6       2,33        633       1611       1578         33          0       1270        125          0
 34      47635       2255          0        107          0          3      53,02       1,27       17,0       2,01        681       1674       1641         33          0       1437        137          0
 35      47506       2368          0        123          0          3      52,31       1,25       17,5       2,22        724       1760       1727         33          0       1590        151          0
 36      47388       2468          0        140          0          4      51,64       1,23       17,6       2,19        769       1833       1800         33          0       1787        167          0
 37      47304       2524          0        167          0          5      51,00       1,21       17,7       2,03        812       1874       1841         33          0       1854        173          0
 38      47221       2579          0        191          0          9      50,40       1,20       18,1       1,91        844       1925       1892         33          0       1913        177          0
 39      47142       2628          0        220          0         10      49,83       1,19       18,2       1,87        881       1967       1934         33          0       2024        192          0
 40      47074       2648          0        265          0         13      49,29       1,18       18,6       2,08        917       1999       1966         33          0       2087        196          0
 41      46991       2675          0        319          0         15      48,77       1,17       19,1       2,03        967       2032       1998         34          0       2160        202          0
 42      46929       2673          0        376          0         22      48,28       1,17       19,5       1,86       1008       2053       2019         34          0       2214        208          0
 43      46867       2679          0        430          0         24      47,81       1,17       19,6       1,77       1044       2079       2042         37          0       2243        221          0
 44      46809       2670          0        493          0         28      47,37       1,17       20,3       1,75       1080       2101       2062         39          0       2258        229          0
 45      46756       2648          0        566          0         30      46,94       1,17       20,7       1,71       1114       2120       2077         43          0       2262        235          0
 46      46692       2619          0        654          0         35      46,54       1,17       21,0       1,65       1158       2140       2094         46          0       2237        239          0
 47      46654       2582          0        721          0         43      46,15       1,17       21,2       1,59       1188       2148       2098         50          0       2245        237          0
 48      46614       2542          0        798          0         46      45,77       1,17       21,3       1,53       1220       2156       2100         56          0       2227        235          0
 49      46578       2495          0        874          0         53      45,42       1,17       21,6       1,60       1252       2160       2101         59          0       2206        236          0
 50      46545       2433          0        968          0         54      45,08       1,17       21,8       1,54       1275       2170       2100         70          0       2169        230          0
 51      46500       2377          0       1062          0         61      44,75       1,17       22,1       1,54       1302       2188       2105         82          1       2121        226          0
