 35      47678       2176          0        138          0          6      52,30       1,30       17,8       2,05        698       1613       1572         40          1       1582        158          0
 36      47607       2222          0        161          0          8      51,63       1,28       18,1       2,01        733       1649       1607         40          1       1774        177          0
 37      47539       2261          0        189          0         10      50,99       1,26       18,3       1,98        765       1684       1643         40          1       1812        181          0
 38      47471       2294          0        221          0         12      50,39       1,25       18,8       1,96        797       1720       1679         40          1       1852        185          0
 39      47402       2322          0        259          0         14      49,82       1,24       19,1       1,90        829       1757       1715         40          1       1891        188          0
 40      47334       2348          0        299          0         17      49,28       1,23       19,4       1,90        861       1794       1752         40          1       1928        192          0
 41      47262       2371          0        346          0         19      48,76       1,22       19,8       1,87        894       1832       1790         41          1       1956        195          0
 42      47196       2379          0        400          0         23      48,27       1,21       20,1       1,82        925       1868       1825         41          1       1969        196          0
 43      47128       2388          0        456          0         26      47,80       1,20       20,3       1,77        958       1903       1859         42          1       1978        198          0
 44      47063       2387          0        519          0         30      47,36       1,20       20,6       1,72        989       1937       1892         43          1       1978        198          0
 45      46995       2386          0        582          0         34      46,93       1,19       20,8       1,67       1021       1973       1926         45          1       1979        198          0
 46      46935       2371          0        654          0         39      46,53       1,19       21,1       1,65       1051       2003       1954         47          1       1971        198          0
 47      46877       2349          0        728          0         45      46,14       1,18       21,3       1,62       1082       2030       1979         50          1       1963        197          0
 48      46820       2323          0        806          0         49      45,77       1,18       21,5       1,60       1112       2056       2001         53          1       1947        195          0
 49      46767       2285          0        891          0         55      45,41       1,17       21,8       1,56       1143       2079       2019         57          1       1925        192          0
 50      46718       2236          0        983          0         61      45,07       1,17       22,0       1,52       1171       2099       2034         63          1       1891        187          0
 51      46668       2189          0       1074          0         67      44,74       1,17       22,3       1,50       1201       2119       2047         70          2       1862        184          0
 52      46622       2131          0       1172          0         74      44,43       1,17       22,5       1,47       1231       2136       2056         78          2       1818        180          0
 53      46577       2069          0       1272          0         80      44,13       1,17       22,8       1,46       1257       2155       2065         87          2       1770        175          0
 54      46537       1998          0       1377          0         87      43,84       1,17       23,1       1,44       1282       2170       2069         98          2       1714        171          0
 55      46495       1924          0       1486          0         93      43,56       1,17       23,3       1,42       1308       2186       2074        109          2       1652        163          0
 56      46456       1848          0       1595          0         99      43,29       1,16       23,6       1,40       1332       2200       2075        122          3       1586        156          0
 57      46419       1766          0       1707          0        106      43,03       1,16       23,9       1,38       1355       2214       2073        137          3       1517        150          0
 58      46383       1674          0       1828          0        113      42,78       1,17       24,1       1,34       1376       2230       2070        155          4       1435        141          0
 59      46346       1586          0       1947          0        119      42,54       1,16       24,3       1,30       1397       2245       2065        175          4       1355        133          0
 60      46314       1496          0       2064          0        125      42,31       1,17       24,6       1,27       1416       2259       2059        194          4       1273        125          0
 61      46281       1408          0       2177          0        132      42,08       1,17       24,8       1,24       1434       2273       2052        216          5       1195        116          0
 62      46247       1372          0       2243          0        136      41,86       1,17       24,8       1,23       1453       2289       2032        250          5       1163        113          0
 63      46215       1333          0       2310          0        140      41,65       1,16       24,9       1,22       1471       2303       2011        285          6       1129        110          0
 64      46186       1292          0       2377          0        144      41,45       1,16       24,9       1,21       1486       2317       1990        319          7       1095        107          0
 65      46158       1250          0       2442          0        148      41,25       1,16       25,0       1,20       1502       2328       1968        352          7       1062        104          0
 66      46130       1210          0       2507          0        151      41,06       1,16       25,0       1,19       1517       2341       1947        385          8       1026        101          0
 67      46104       1171          0       2569          0        155      40,88       1,16       25,0       1,18       1533       2352       1927        416          9        994         98          0
 68      46081       1131          0       2628          0        158      40,70       1,16       25,1       1,17       1546       2362       1905        447          9        965         95          0
 69      46055       1095          0       2687          0        161      40,53       1,16       25,1       1,16       1560       2374       1885        479          9        935         92          0
 70      46031       1055          0       2748          0        164      40,36       1,16       25,2       1,16       1573       2385       1862        512         10        900         88          0
 71      46009       1015          0       2806          0        168      40,19       1,16       25,2       1,15       1586       2393       1840        542         11        866         85          0
 72      45989        975          0       2863          0        171      40,03       1,16       25,2       1,14       1598       2401       1818        571         11        834         82          0
 73      45969        937          0       2917          0        174      39,88       1,16       25,3       1,14       1610       2409       1797        599         11        803         80          0
 74      45952        896          0       2973          0        177      39,72       1,16       25,3       1,13       1621       2415       1776        627         12        767         76          0
 75      45936        857          0       3024          0        180      39,58       1,16       25,3       1,12       1631       2421       1756        652         12        739         74          0
 76      45920        821          0       3074          0        183      39,43       1,16       25,4       1,12       1642       2426       1736        676         13        710         71          0
 77      45906        784          0       3121          0        187      39,30       1,16       25,4       1,11       1651       2431       1719        698         13        681         67          0
 78      45892        750          0       3167          0        190      39,16       1,16       25,4       1,10       1661       2436       1702        720         13        653         64          0
 79      45879        716          0       3211          0        192      39,03       1,16       25,4       1,10       1670       2439       1684        740         14        626         61          0
 80      45868        685          0       3251          0        194      38,90       1,16       25,4       1,09       1679       2442       1670        757         14        600         59          0
 81      45858        653          0       3291          0        197      38,77       1,16       25,5       1,09       1686       2444       1655        774         14        575         57          0
