 35      15039       4031          0        912          0         18      58,70       1,81       19,9       1,68       1475       3386       2682        694         10       3634        343          0
 36      14993       3934          0       1052          0         21      58,70       1,82       20,4       1,70       1521       3386       2563        813         10       3590        345          0
 37      14956       3815          0       1203          0         26      58,70       1,83       20,9       1,65       1558       3386       2438        936         12       3507        331          0
 38      14922       3637          0       1413          0         28      58,71       1,83       21,6       1,57       1592       3386       2260       1112         14       3355        322          0
 39      14884       3461          0       1620          0         35      58,71       1,84       22,2       1,50       1630       3386       2083       1287         16       3187        308          0
 40      14852       3307          0       1804          0         37      58,71       1,84       22,7       1,44       1662       3386       1928       1440         18       3065        294          0
 41      14819       3141          0       1998          0         42      58,71       1,85       23,0       1,40       1695       3386       1768       1598         20       2921        293          0
 42      14799       2965          0       2192          0         44      58,71       1,85       23,3       1,37       1715       3386       1624       1741         21       2771        284          0
 43      14776       2826          0       2350          0         48      58,72       1,86       23,5       1,35       1738       3386       1517       1846         23       2646        274          0
 44      14746       2685          0       2517          0         52      58,73       1,87       23,6       1,35       1768       3386       1407       1954         25       2509        266          0
 45      14721       2532          0       2688          0         59      58,73       1,87       23,8       1,33       1793       3386       1286       2072         28       2369        253          0
 46      14691       2395          0       2845          0         69      58,73       1,87       24,0       1,32       1823       3386       1176       2178         32       2234        236          0
 47      14673       2245          0       3003          0         79      58,73       1,87       24,1       1,32       1841       3386       1057       2294         35       2099        216          0
 48      14649       2067          0       3200          0         84      58,73       1,88       24,4       1,31       1865       3386        913       2435         38       1917        201          0
 49      14634       1923          0       3354          0         89      58,73       1,88       24,5       1,29       1880       3386        790       2556         40       1781        182          0
 50      14618       1749          0       3537          0         96      58,74       1,88       24,7       1,26       1895       3387        649       2693         45       1621        168          0
 51      14603       1588          0       3707          0        102      58,74       1,88       24,9       1,22       1910       3387        523       2816         48       1470        149          0
 52      14582       1434          0       3879          0        105      58,74       1,88       25,1       1,20       1931       3387        404       2935         48       1325        132          0
 53      14570       1288          0       4033          0        109      58,74       1,88       25,2       1,17       1943       3387        301       3036         50       1185        122          0
 54      14564       1174          0       4151          0        111      58,75       1,88       25,3       1,16       1949       3387        229       3107         51       1089        115          0
 55      14557       1061          0       4265          0        117      58,75       1,88       25,4       1,14       1956       3387        190       3146         51        984         96          0
 56      14548        993          0       4341          0        118      58,75       1,88       25,4       1,13       1965       3387        168       3167         52        923         88          0
 57      14532        898          0       4445          0        125      58,75       1,89       25,5       1,12       1981       3387        129       3206         52        827         81          0
 58      14522        812          0       4537          0        129      58,75       1,89       25,6       1,11       1991       3387         93       3241         53        752         78          0
 59      14510        736          0       4620          0        134      58,76       1,89       25,6       1,10       2003       3387         56       3278         53        676         72          0
 60      14506        642          0       4713          0        139      58,76       1,89       25,7       1,08       2007       3387         25       3309         53        584         61          0
 61      14500        591          0       4765          0        144      58,77       1,89       25,7       1,07       2012       3388         11       3324         53        534         55          0
 62      14494        549          0       4813          0        144      58,77       1,89       25,8       1,07       2018       3388          5       3330         53        495         53          0
 63      14486        509          0       4858          0        147      58,77       1,89       25,8       1,06       2026       3388          2       3333         53        463         48          0
 64      14482        473          0       4898          0        147      58,77       1,89       25,8       1,05       2030       3388          2       3333         53        433         45          0
 65      14477        439          0       4933          0        151      58,78       1,89       25,8       1,05       2035       3388          2       3333         53        406         42          0
 66      14476        408          0       4964          0        152      58,78       1,89       25,8       1,04       2036       3388          2       3333         53        378         40          0
 67      14472        377          0       4996          0        155      58,79       1,89       25,8       1,04       2040       3388          2       3333         53        349         39          0
 68      14469        345          0       5026          0        160      58,79       1,89       25,8       1,03       2043       3388          2       3333         53        320         36          0
 69      14467        317          0       5053          0        163      58,80       1,89       25,8       1,03       2045       3388          2       3333         53        298         33          0
 70      14464        292          0       5079          0        165      58,80       1,89       25,8       1,02       2048       3388          2       3333         53        274         30          0
 71      14459        270          0       5104          0        167      58,81       1,89       25,9       1,02       2052       3389          3       3333         53        252         30          0
 72      14455        248          0       5128          0        169      58,81       1,88       25,9       1,02       2056       3389          2       3334         53        227         25          0
 73      14454        229          0       5147          0        170      58,81       1,88       25,9       1,01       2057       3389          2       3334         53        211         23          0
 74      14452        214          0       5164          0        170      58,82       1,88       25,9       1,01       2059       3389          2       3334         53        197         22          0
 75      14448        199          0       5183          0        170      58,82       1,88       25,9       1,01       2062       3390          3       3334         53        180         20          0
 76      14443        181          0       5205          0        171      58,83       1,88       25,9       1,01       2067       3390          3       3334         53        160         17          0
 77      14442        162          0       5225          0        171      58,83       1,88       25,9       1,00       2068       3390          3       3334         53        145         16          0
 78      14439        156          0       5233          0        172      58,84       1,88       25,9       1,00       2071       3390          3       3334         53        140         15          0
 79      14437        143          0       5247          0        173      58,84       1,88       25,9       1,00       2073       3390          3       3334         53        126         13          0
 80      14437        133          0       5255          0        175      58,84       1,88       25,9       1,00       2073       3390          3       3334         53        118         12          0
 81      14436        127          0       5261          0        176      58,85       1,88       25,9       1,00       2074       3390          3       3334         53        115         12          0
 82      14436        117          0       5270          0        177      58,85       1,88       25,9       1,00       2074       3390          2       3335         53        110         10          0
 83      14436        107          0       5280          0        177      58,86       1,88       25,9       1,00       2074       3390          2       3335         53        101          9          0
 84      14435         99          0       5288          0        178      58,86       1,88       25,9       0,99       2075       3390          2       3335         53         95          9          0
 85      14435         91          0       5296          0        178      58,86       1,88       25,9       0,99       2075       3390          2       3335         53         89          9          0
 86      14435         84          0       5303          0        178      58,87       1,88       25,9       0,99       2075       3390          2       3335         53         82          9          0
 87      14435         76          0       5311          0        178      58,87       1,88       25,9       0,99       2075       3390          2       3335         53         75          8          0
 88      14434         67          0       5320          0        179      58,87       1,88       25,9       0,99       2076       3390          1       3336         53         65          8          0
 89      14434         61          0       5326          0        179      58,88       1,88       26,0       0,99       2076       3390          1       3336         53         59          6          0
 90      14434         53          0       5334          0        179      58,88       1,88       26,0       0,99       2076       3390          1       3336         53         52          4          0
 91      14433         49          0       5339          0        179      58,88       1,88       26,0       0,99       2077       3390          1       3336         53         47          4          0
 92      14433         47          0       5341          0        179      58,89       1,88       26,0       0,99       2077       3390          1       3336         53         45          4          0
 93      14433         41          0       5347          0        179      58,89       1,88       26,0       0,99       2077       3390          1       3336         53         39          3          0
 94      14433         35          0       5353          0        179      58,89       1,88       26,0       0,99       2077       3390          1       3336         53         34          2          0
 95      14433         34          0       5354          0        179      58,90       1,88       26,0       0,99       2077       3390          1       3336         53         33          2          0
 96      14433         31          0       5357          0        179      58,90       1,88       26,0       0,99       2077       3390          1       3336         53         30          2          0
 97      14432         32          0       5357          0        179      58,91       1,88       26,0       0,99       2078       3390          1       3336         53         31          2          0
 98      14431         29          0       5361          0        179      58,91       1,88       26,0       0,99       2079       3390          1       3336         53         27          2          0
 99      14431         27          0       5363          0        179      58,91       1,88       26,0       0,99       2079       3390          0       3337         53         25          2          0
100      14431         25          0       5365          0        179      58,92       1,88       26,0       0,99       2079       3390          0       3337         53         23          1          0
101      14431         22          0       5367          0        180      58,92       1,88       26,0       0,98       2079       3390          0       3337         53         20          1          0
102      14430         21          0       5369          0        180      58,92       1,88       26,0       0,98       2080       3390          0       3337         53         18          1          0
103      14430         17          0       5373          0        180      58,93       1,88       26,0       0,98       2080       3390          0       3337         53         15          2          0
